dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,20.013363,2.690851,0.000007,0.001477,0.147710,14.771028,0.517931
0.010000,20.013363,2.690851,0.000008,0.000034,-0.144354,-29.206450,0.517931
0.010000,20.013363,2.690850,0.000008,0.000076,0.004194,14.854857,0.517932
0.010000,20.013361,2.690850,0.000010,0.000134,0.005870,0.167572,0.517933
0.010000,20.013360,2.690849,0.000012,0.000210,0.007543,0.167261,0.517935
0.010000,20.013357,2.690847,0.000015,0.000302,0.009210,0.166754,0.517938
0.010000,20.013353,2.690845,0.000019,0.000410,0.010870,0.165999,0.517943
0.010000,20.013349,2.690842,0.000024,0.000536,0.012520,0.164947,0.517948
0.010000,20.013343,2.690839,0.000031,0.000677,0.014155,0.163550,0.517955
0.010000,20.013336,2.690835,0.000040,0.000835,0.015773,0.161757,0.517963
0.010000,20.013327,2.690830,0.000050,0.001009,0.017368,0.159519,0.517973
0.010000,20.013316,2.690824,0.000062,0.001198,0.018936,0.156787,0.517985
0.010000,20.014213,2.691335,0.001093,0.103189,10.199112,1018.017639,0.517999
0.010000,20.015456,2.692044,0.002525,0.143134,3.994459,-620.465279,0.518015
0.010000,20.016884,2.692857,0.004168,0.164318,2.118398,-187.606091,0.518034
0.010000,20.018508,2.693783,0.006038,0.186964,2.264679,14.628097,0.518055
0.010000,20.020342,2.694828,0.008148,0.211075,2.411058,14.637881,0.518079
0.010000,20.022398,2.696000,0.010515,0.236650,2.557518,14.645998,0.518105
0.010000,20.024689,2.697306,0.013152,0.263690,2.703990,14.647192,0.518134
0.010000,20.027227,2.698753,0.016074,0.292196,2.850628,14.663798,0.518167
0.010000,20.030026,2.700349,0.019295,0.322169,2.997307,14.667920,0.518202
0.010000,20.033098,2.702101,0.022832,0.353610,3.144081,14.677379,0.518240
0.010000,20.036456,2.704015,0.026697,0.386521,3.291024,14.694309,0.518282
0.010000,20.040112,2.706101,0.030906,0.420901,3.438052,14.702768,0.518327
0.010000,20.044079,2.708364,0.035473,0.456753,3.585219,14.716660,0.518376
0.010000,20.048371,2.710812,0.040414,0.494079,3.732536,14.731764,0.518427
0.010000,20.052999,2.713452,0.045743,0.532879,3.880017,14.748127,0.518483
0.010000,20.057978,2.716293,0.051474,0.573156,4.027675,14.765797,0.518541
0.010000,20.063318,2.719341,0.057624,0.614911,4.175524,14.784821,0.518603
0.010000,20.069034,2.722603,0.064205,0.658147,4.323576,14.805244,0.518669
0.010000,20.075138,2.726087,0.071234,0.702864,4.471786,14.821044,0.518738
0.010000,20.081643,2.729801,0.078724,0.749068,4.620332,14.854518,0.518810
0.010000,20.088562,2.733752,0.086692,0.796758,4.769015,14.868327,0.518885
0.010000,20.095908,2.737948,0.095151,0.845938,4.918049,14.903417,0.518963
0.010000,20.103694,2.742395,0.104117,0.896611,5.067305,14.925578,0.519044
0.010000,20.111932,2.747102,0.113605,0.948780,5.216849,14.954379,0.519128
0.010000,20.120635,2.752076,0.123630,1.002447,5.366745,14.989668,0.519215
0.010000,20.129817,2.757324,0.134206,1.057617,5.516941,15.019553,0.519303
0.010000,20.139491,2.762854,0.145349,1.114292,5.667486,15.054469,0.519394
0.010000,20.149669,2.768674,0.157073,1.172476,5.818421,15.093551,0.519486
0.010000,20.160365,2.774792,0.169395,1.232173,5.969717,15.129624,0.519579
0.010000,20.171592,2.781214,0.182329,1.293387,6.121411,15.169350,0.519673
0.010000,20.183362,2.787949,0.195890,1.356123,6.273548,15.213716,0.519768
0.010000,20.195690,2.795005,0.210094,1.420384,6.426131,15.258343,0.519862
0.010000,20.208588,2.802388,0.224956,1.486176,6.579168,15.303660,0.519956
0.010000,20.222069,2.810107,0.240491,1.553503,6.732699,15.353117,0.520049
0.010000,20.236148,2.818170,0.256715,1.622370,6.886746,15.404685,0.520140
0.010000,20.250837,2.826583,0.273642,1.692783,7.041319,15.457283,0.520228
0.010000,20.266149,2.835356,0.291290,1.764748,7.196441,15.512192,0.520313
0.010000,20.282099,2.844496,0.309673,1.838269,7.352165,15.572415,0.520394
