dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,20.508447,1.822005,0.000007,0.001477,0.147710,14.771028,0.517931
0.010000,20.508447,1.822005,0.000037,0.004431,0.295421,14.771028,0.517931
0.010000,20.508447,1.822005,0.000103,0.008863,0.443131,14.771028,0.517932
0.010000,20.508447,1.822005,0.000222,0.014771,0.590841,14.771028,0.517933
0.010000,20.508447,1.822005,0.000406,0.022157,0.738551,14.771028,0.517935
0.010000,20.508447,1.822005,0.000672,0.031019,0.886262,14.771028,0.517938
0.010000,20.508447,1.822005,0.001034,0.041359,1.033972,14.771028,0.517943
0.010000,20.508447,1.822005,0.001507,0.053176,1.181682,14.771028,0.517948
0.010000,20.508447,1.822005,0.002105,0.066470,1.329392,14.771028,0.517955
0.010000,20.508447,1.822005,0.002843,0.081241,1.477103,14.771028,0.517963
0.010000,20.508447,1.822005,0.003737,0.097489,1.624813,14.771028,0.517973
0.010000,20.508447,1.822005,0.004801,0.115214,1.772523,14.771028,0.517985
0.010000,20.509356,1.822523,0.006049,0.134416,1.920234,14.771028,0.517999
0.010000,20.510613,1.823240,0.007496,0.155096,2.067944,14.771028,0.518015
0.010000,20.512057,1.824063,0.009158,0.177252,2.215654,14.771028,0.518034
0.010000,20.513700,1.824999,0.011049,0.200886,2.363364,14.771028,0.518055
0.010000,20.515554,1.826056,0.013183,0.225997,2.511075,14.771028,0.518079
0.010000,20.517633,1.827241,0.015576,0.252585,2.658785,14.771028,0.518105
0.010000,20.519949,1.828562,0.018242,0.280650,2.806495,14.771028,0.518134
0.010000,20.522516,1.830025,0.021196,0.310192,2.954206,14.771028,0.518167
0.010000,20.525345,1.831638,0.024453,0.341211,3.101916,14.771028,0.518202
0.010000,20.528450,1.833409,0.028028,0.373707,3.249626,14.771028,0.518240
0.010000,20.531844,1.835344,0.031935,0.407680,3.397336,14.771028,0.518282
0.010000,20.535539,1.837451,0.036189,0.443131,3.545047,14.771028,0.518327
0.010000,20.539549,1.839738,0.040805,0.480058,3.692757,14.771028,0.518376
0.010000,20.543886,1.842212,0.045798,0.518463,3.840467,14.771028,0.518427
0.010000,20.548562,1.844880,0.051182,0.558345,3.988177,14.771028,0.518483
0.010000,20.553591,1.847750,0.056972,0.599704,4.135888,14.771028,0.518541
0.010000,20.558986,1.850828,0.063183,0.642540,4.283598,14.771028,0.518603
0.010000,20.564759,1.854123,0.069830,0.686853,4.431308,14.771028,0.518669
0.010000,20.570923,1.857642,0.076928,0.732643,4.579019,14.771028,0.518738
0.010000,20.577490,1.861391,0.084490,0.779910,4.726729,14.771028,0.518810
0.010000,20.584475,1.865380,0.092533,0.828655,4.874439,14.771028,0.518885
0.010000,20.591888,1.869614,0.101071,0.878876,5.022149,14.771028,0.518963
0.010000,20.599744,1.874102,0.110118,0.930575,5.169860,14.771028,0.519044
0.010000,20.608055,1.878850,0.119690,0.983750,5.317570,14.771028,0.519128
0.010000,20.616834,1.883866,0.129800,1.038403,5.465280,14.771028,0.519215
0.010000,20.626092,1.889159,0.140465,1.094533,5.612990,14.771028,0.519303
0.010000,20.635845,1.894734,0.151698,1.152140,5.760701,14.771028,0.519394
0.010000,20.646103,1.900600,0.163515,1.211224,5.908411,14.771028,0.519486
0.010000,20.656880,1.906764,0.175930,1.271785,6.056121,14.771028,0.519579
0.010000,20.668188,1.913233,0.188958,1.333824,6.203832,14.771028,0.519673
0.010000,20.680041,1.920015,0.202614,1.397339,6.351542,14.771028,0.519768
0.010000,20.692450,1.927117,0.216913,1.462332,6.499252,14.771028,0.519862
0.010000,20.705430,1.934547,0.231868,1.528801,6.646962,14.771028,0.519956
0.010000,20.718992,1.942312,0.247496,1.596748,6.794673,14.771028,0.520049
0.010000,20.733149,1.950420,0.263811,1.666172,6.942383,14.771028,0.520140
0.010000,20.747915,1.958878,0.280827,1.737073,7.090093,14.771028,0.520228
0.010000,20.763301,1.967693,0.298559,1.809451,7.237804,14.771028,0.520313
0.010000,20.779321,1.976873,0.317023,1.883306,7.385514,14.771028,0.520394
0.010000,20.795987,1.986425,0.336233,1.958638,7.533224,14.771028,0.520471
0.010000,20.813313,1.996357,0.356203,2.035448,7.680934,14.771028,0.520541
0.010000,20.831311,2.006675,0.376949,2.113734,7.828645,14.771028,0.520604
0.010000,20.849994,2.017388,0.398485,2.193498,7.976355,14.771028,0.520660
0.010000,20.869368,2.028498,0.420819,2.273261,7.976355,-0.000000,0.520707
0.010000,20.889433,2.040006,0.443951,2.353025,7.976355,0.000000,0.520743
0.010000,20.910190,2.051912,0.467880,2.432788,7.976355,0.000000,0.520768
0.010000,20.931633,2.064211,0.492599,2.511075,7.828645,-14.771028,0.520780
0.010000,20.953748,2.076896,0.518094,2.587884,7.680934,-14.771028,0.520778
0.010000,20.976523,2.089960,0.544349,2.663216,7.533224,-14.771028,0.520761
0.010000,20.999945,2.103394,0.571351,2.737071,7.385514,-14.771028,0.520727
0.010000,21.024002,2.117190,0.599083,2.809449,7.237804,-14.771028,0.520674
0.010000,21.048682,2.131342,0.627532,2.880350,7.090093,-14.771028,0.520603
0.010000,21.073971,2.145840,0.656683,2.949774,6.942383,-14.771028,0.520510
0.010000,21.099858,2.160678,0.686520,3.017721,6.794673,-14.771028,0.520396
0.010000,21.126330,2.175846,0.717030,3.084191,6.646962,-14.771028,0.520258
0.010000,21.153374,2.191337,0.748197,3.149183,6.499252,-14.771028,0.520095
0.010000,21.180979,2.207143,0.780006,3.212699,6.351542,-14.771028,0.519907
0.010000,21.209132,2.223254,0.812443,3.274737,6.203832,-14.771028,0.519691
0.010000,21.237820,2.239664,0.845494,3.335298,6.056121,-14.771028,0.519446
0.010000,21.267033,2.256363,0.879142,3.394382,5.908411,-14.771028,0.519172
0.010000,21.296756,2.273343,0.913374,3.451989,5.760701,-14.771028,0.518866
0.010000,21.326979,2.290596,0.948174,3.508119,5.612990,-14.771028,0.518529
0.010000,21.357690,2.308112,0.983529,3.562772,5.465280,-14.771028,0.518157
0.010000,21.388875,2.325883,1.019422,3.615948,5.317570,-14.771028,0.517752
0.010000,21.420524,2.343900,1.055840,3.667646,5.169860,-14.771028,0.517310
0.010000,21.452624,2.362155,1.092768,3.717868,5.022149,-14.771028,0.516832
0.010000,21.485163,2.380638,1.130190,3.766612,4.874439,-14.771028,0.516315
0.010000,21.518130,2.399341,1.168093,3.813879,4.726729,-14.771028,0.515760
0.010000,21.551513,2.418254,1.206461,3.859670,4.579019,-14.771028,0.515164
0.010000,21.585299,2.437368,1.245279,3.903983,4.431308,-14.771028,0.514528
0.010000,21.619477,2.456674,1.284533,3.946819,4.283598,-14.771028,0.513849
0.010000,21.654035,2.476163,1.324208,3.988177,4.135888,-14.771028,0.513128
0.010000,21.688962,2.495826,1.364289,4.028059,3.988177,-14.771028,0.512363
0.010000,21.724245,2.515653,1.404762,4.066464,3.840467,-14.771028,0.511554
0.010000,21.759874,2.535635,1.445611,4.103391,3.692757,-14.771028,0.510699
