dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,21.003530,0.953160,0.000007,0.001477,0.147710,14.771028,0.517931
0.010000,21.003531,0.953160,0.000008,0.000034,-0.144354,-29.206450,0.517931
0.010000,21.003531,0.953161,0.000008,0.000076,0.004194,14.854857,0.517932
0.010000,21.003533,0.953161,0.000010,0.000134,0.005870,0.167572,0.517933
0.010000,21.003534,0.953162,0.000012,0.000210,0.007543,0.167261,0.517935
0.010000,21.003537,0.953164,0.000015,0.000302,0.009210,0.166754,0.517938
0.010000,21.003541,0.953166,0.000019,0.000410,0.010870,0.165999,0.517943
0.010000,21.003545,0.953168,0.000024,0.000536,0.012520,0.164947,0.517948
0.010000,21.003551,0.953172,0.000031,0.000677,0.014155,0.163550,0.517955
0.010000,21.003558,0.953176,0.000040,0.000835,0.015773,0.161757,0.517963
0.010000,21.003567,0.953181,0.000050,0.001009,0.017368,0.159519,0.517973
0.010000,21.003578,0.953187,0.000062,0.001198,0.018936,0.156787,0.517985
0.010000,21.004498,0.953712,0.001122,0.105994,10.479643,1046.070745,0.517999
0.010000,21.005770,0.954436,0.002585,0.146378,4.038394,-644.124934,0.518015
0.010000,21.007230,0.955268,0.004266,0.168031,2.165236,-187.315819,0.518034
0.010000,21.008891,0.956215,0.006177,0.191174,2.314314,14.907869,0.518055
0.010000,21.010766,0.957284,0.008335,0.215808,2.463373,14.905848,0.518079
0.010000,21.012868,0.958482,0.010755,0.241931,2.612378,14.900522,0.518105
0.010000,21.015209,0.959817,0.013450,0.269544,2.761242,14.886420,0.518134
0.010000,21.017804,0.961296,0.016437,0.298645,2.910105,14.886275,0.518167
0.010000,21.020664,0.962927,0.019729,0.329233,3.058820,14.871470,0.518202
0.010000,21.023803,0.964716,0.023342,0.361307,3.207421,14.860124,0.518240
0.010000,21.027233,0.966672,0.027291,0.394867,3.355964,14.854314,0.518282
0.010000,21.030967,0.968802,0.031590,0.429910,3.504341,14.837651,0.518327
0.010000,21.035019,0.971113,0.036254,0.466436,3.652583,14.824245,0.518376
0.010000,21.039400,0.973613,0.041299,0.504443,3.800680,14.809681,0.518427
0.010000,21.044125,0.976308,0.046738,0.543929,3.948619,14.793909,0.518483
0.010000,21.049205,0.979207,0.052587,0.584893,4.096388,14.776878,0.518541
0.010000,21.054654,0.982316,0.058860,0.627333,4.243973,14.758537,0.518603
0.010000,21.060483,0.985643,0.065573,0.671246,4.391361,14.738832,0.518669
0.010000,21.066707,0.989196,0.072739,0.716631,4.538477,14.711525,0.518738
0.010000,21.073337,0.992982,0.080374,0.763486,4.685469,14.699253,0.518810
0.010000,21.080387,0.997007,0.088492,0.811807,4.832108,14.663844,0.518885
0.010000,21.087869,1.001280,0.097108,0.861593,4.978577,14.646942,0.518963
0.010000,21.095795,1.005808,0.106236,0.912840,5.124713,14.613581,0.519044
0.010000,21.104179,1.010598,0.115892,0.965545,5.270549,14.583607,0.519128
0.010000,21.113032,1.015657,0.126089,1.019706,5.416117,14.556757,0.519215
0.010000,21.122368,1.020993,0.136842,1.075320,5.561325,14.520828,0.519303
0.010000,21.132198,1.026614,0.148166,1.132382,5.706188,14.486345,0.519394
0.010000,21.142536,1.032525,0.160075,1.190889,5.850711,14.452319,0.519486
0.010000,21.153394,1.038735,0.172583,1.250837,5.994825,14.411366,0.519579
0.010000,21.164785,1.045251,0.185705,1.312222,6.138527,14.370156,0.519673
0.010000,21.176719,1.052080,0.199456,1.375040,6.281823,14.329589,0.519768
0.010000,21.189211,1.059229,0.213848,1.439287,6.424674,14.285117,0.519862
0.010000,21.202272,1.066706,0.228898,1.504958,6.567045,14.237083,0.519956
0.010000,21.215915,1.074517,0.244618,1.572047,6.708933,14.188881,0.520049
0.010000,21.230151,1.082670,0.261024,1.640550,6.850317,14.138354,0.520140
0.010000,21.244993,1.091172,0.278129,1.710462,6.991160,14.084308,0.520228
0.010000,21.260453,1.100029,0.295946,1.781776,7.131439,14.027941,0.520313
0.010000,21.276543,1.109250,0.314491,1.854488,7.271161,13.972180,0.520394
0.010000,21.293276,1.118840,0.333777,1.928590,7.410264,13.910314,0.520471
0.010000,21.310663,1.128806,0.353818,2.004078,7.548735,13.847078,0.520541
0.010000,21.328716,1.139156,0.374627,2.080943,7.686557,13.782225,0.520604
0.010000,21.347447,1.149897,0.396219,2.159180,7.823703,13.714547,0.520660
0.010000,21.366861,1.161030,0.418600,2.238042,7.886148,6.244547,0.520707
0.010000,21.386958,1.172557,0.441767,2.316782,7.874057,-1.209177,0.520743
0.010000,21.407737,1.184475,0.465721,2.395398,7.861544,-1.251205,0.520768
0.010000,21.429190,1.196780,0.490453,2.473145,7.774723,-8.682118,0.520780
0.010000,21.451303,1.209464,0.515946,2.549283,7.613812,-16.091136,0.520778
0.010000,21.474063,1.222519,0.542184,2.623811,7.452827,-16.098531,0.520761
0.010000,21.497456,1.235936,0.569151,2.696729,7.291794,-16.103240,0.520727
0.010000,21.521468,1.249706,0.596831,2.768037,7.130737,-16.105685,0.520674
0.010000,21.546085,1.263822,0.625209,2.837733,6.969680,-16.105726,0.520603
0.010000,21.571294,1.278275,0.654267,2.905820,6.808643,-16.103690,0.520510
0.010000,21.597082,1.293055,0.683990,2.972297,6.647660,-16.098327,0.520396
0.010000,21.623434,1.308155,0.714362,3.037164,6.486745,-16.091538,0.520258
0.010000,21.650337,1.323565,0.745366,3.100423,6.325916,-16.082837,0.520095
0.010000,21.677778,1.339277,0.776987,3.162075,6.165194,-16.072250,0.519907
