dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.979486,18.999790,0.000007,0.001474,0.147412,14.741245,0.020516
0.010000,3.979478,18.999789,0.000015,0.000756,-0.071784,-21.919619,0.020523
0.010000,3.979461,18.999789,0.000032,0.001702,0.094536,16.632011,0.020540
0.010000,3.979431,18.999788,0.000062,0.003025,0.132352,3.781592,0.020571
0.010000,3.979384,18.999787,0.000109,0.004727,0.170170,3.781802,0.020618
0.010000,3.979316,18.999786,0.000178,0.006807,0.207992,3.782146,0.020686
0.010000,3.979223,18.999784,0.000270,0.009265,0.245818,3.782656,0.020779
0.010000,3.979102,18.999782,0.000391,0.012101,0.283652,3.783364,0.020900
0.010000,3.978949,18.999778,0.000544,0.015316,0.321495,3.784303,0.021053
0.010000,3.978760,18.999774,0.000733,0.018910,0.359350,3.785501,0.021242
0.010000,3.978531,18.999770,0.000962,0.022882,0.397220,3.786989,0.021471
0.010000,3.978259,18.999764,0.001235,0.027233,0.435108,3.788791,0.021743
0.010000,3.977939,18.999757,0.001554,0.031963,0.473017,3.790934,0.022063
0.010000,3.978197,18.999762,0.001813,0.025828,-0.613527,-108.654416,0.022433
0.010000,3.979430,18.999790,0.003046,0.123303,9.747444,1036.097064,0.022859
0.010000,3.980832,18.999823,0.004448,0.140238,1.693569,-805.387481,0.023344
0.010000,3.982414,18.999860,0.006030,0.158249,1.801034,10.746563,0.023891
0.010000,3.984188,18.999903,0.007805,0.177462,1.921369,12.033470,0.024505
0.010000,3.986164,18.999952,0.009782,0.197667,2.020435,9.906543,0.025189
0.010000,3.988353,19.000008,0.011971,0.218936,2.126917,10.648289,0.025947
0.010000,3.990766,19.000072,0.014385,0.241405,2.246926,12.000884,0.026784
0.010000,3.993413,19.000144,0.017033,0.264796,2.339140,9.221371,0.027703
0.010000,3.996306,19.000226,0.019927,0.289423,2.462649,12.350902,0.028708
0.010000,3.999455,19.000318,0.023077,0.315006,2.558264,9.561455,0.029804
0.010000,4.002870,19.000422,0.026494,0.341669,2.666344,10.807997,0.030993
0.010000,4.006563,19.000538,0.030189,0.369514,2.784461,11.811787,0.032281
0.010000,4.010544,19.000670,0.034172,0.398310,2.879622,9.516018,0.033671
0.010000,4.014824,19.000817,0.038454,0.428186,2.987644,10.802240,0.035168
0.010000,4.019412,19.000982,0.043046,0.459135,3.094838,10.719420,0.036775
0.010000,4.024320,19.001167,0.047957,0.491146,3.201129,10.629051,0.038497
0.010000,4.029558,19.001374,0.053199,0.524210,3.306441,10.531257,0.040338
0.010000,4.035136,19.001604,0.058782,0.558317,3.410704,10.426227,0.042303
0.010000,4.041065,19.001861,0.064717,0.593456,3.513846,10.314219,0.044395
0.010000,4.047355,19.002148,0.071013,0.629614,3.615801,10.195566,0.046619
0.010000,4.054016,19.002466,0.077681,0.666847,3.723267,10.746595,0.048979
0.010000,4.061058,19.002820,0.084733,0.705127,3.828070,10.480215,0.051481
0.010000,4.068491,19.003213,0.092176,0.744328,3.920091,9.202179,0.054127
0.010000,4.076326,19.003649,0.100023,0.784703,4.037520,11.742892,0.056924
0.010000,4.084572,19.004131,0.108283,0.825969,4.126552,8.903199,0.059875
0.010000,4.093238,19.004664,0.116965,0.868261,4.229171,10.261923,0.062985
0.010000,4.102335,19.005253,0.126082,0.911628,4.336746,10.757419,0.066259
0.010000,4.111873,19.005902,0.135641,0.955968,4.433992,9.724686,0.069701
0.010000,4.121860,19.006617,0.145654,1.001288,4.531994,9.800162,0.073316
0.010000,4.132307,19.007405,0.156130,1.047618,4.633003,10.100912,0.077109
0.010000,4.143222,19.008270,0.167080,1.094995,4.737687,10.468347,0.081085
0.010000,4.154616,19.009219,0.178513,1.143292,4.829745,9.205835,0.085249
0.010000,4.166496,19.010261,0.190439,1.192575,4.928291,9.854636,0.089604
0.010000,4.178873,19.011401,0.202868,1.242950,5.037444,10.915245,0.094157
0.010000,4.191755,19.012649,0.215811,1.294230,5.127990,9.054649,0.098912
0.010000,4.205151,19.014012,0.229276,1.346517,5.228758,10.076731,0.103873
0.010000,4.219070,19.015499,0.243274,1.399835,5.331766,10.300858,0.109045
0.010000,4.233521,19.017120,0.257816,1.454171,5.433599,10.183298,0.114434
0.010000,4.248513,19.018886,0.272911,1.509515,5.534445,10.084560,0.120043
0.010000,4.264053,19.020807,0.288570,1.565860,5.634528,10.008324,0.125877
0.010000,4.280145,19.022893,0.304796,1.622665,5.680490,4.596157,0.131938
0.010000,4.296788,19.025154,0.321592,1.679582,5.691655,1.116548,0.138228
0.010000,4.313978,19.027603,0.338956,1.736363,5.678082,-1.357354,0.144745
0.010000,4.331714,19.030249,0.356888,1.793209,5.684585,0.650317,0.151489
0.010000,4.349993,19.033105,0.375389,1.850123,5.691488,0.690312,0.158461
0.010000,4.368815,19.036182,0.394460,1.907116,5.699240,0.775194,0.165659
0.010000,4.388176,19.039493,0.414102,1.964199,5.708307,0.906676,0.173082
0.010000,4.408074,19.043050,0.434316,2.021391,5.719169,1.086201,0.180729
0.010000,4.428508,19.046867,0.455104,2.078773,5.738210,1.904110,0.188598
0.010000,4.449477,19.050957,0.476468,2.136373,5.760010,2.180001,0.196687
0.010000,4.470978,19.055335,0.498410,2.194244,5.787083,2.707348,0.204994
0.010000,4.493011,19.060014,0.520934,2.252382,5.813845,2.676217,0.213515
0.010000,4.515573,19.065009,0.544043,2.310877,5.849518,3.567271,0.222247
0.010000,4.538664,19.070336,0.567740,2.369765,5.888743,3.922468,0.231186
0.010000,4.562284,19.076010,0.592032,2.429120,5.935503,4.676049,0.240328
0.010000,4.586430,19.082047,0.616921,2.488991,5.987119,5.161587,0.249667
0.010000,4.611103,19.088464,0.642415,2.549398,6.040699,5.357984,0.259198
0.010000,4.636303,19.095277,0.668520,2.610437,6.103925,6.322627,0.268915
0.010000,4.662029,19.102504,0.695242,2.672198,6.176118,7.219290,0.278810
0.010000,4.688282,19.110163,0.722589,2.734691,6.249257,7.313848,0.288876
0.010000,4.715061,19.118271,0.750569,2.798029,6.333810,8.455376,0.299105
0.010000,4.742369,19.126847,0.779191,2.862230,6.420106,8.629556,0.309488
0.010000,4.770204,19.135910,0.808465,2.927373,6.514248,9.414249,0.320016
0.010000,4.798570,19.145479,0.838401,2.993590,6.621728,10.747945,0.330677
0.010000,4.827466,19.155573,0.869009,3.060858,6.726810,10.508178,0.341462
0.010000,4.856894,19.166213,0.900302,3.129290,6.843203,11.639339,0.352358
0.010000,4.886857,19.177418,0.932292,3.198947,6.965681,12.247839,0.363354
0.010000,4.917356,19.189209,0.964991,3.269883,7.093577,12.789542,0.374436
0.010000,4.948393,19.201607,0.998412,3.342156,7.227297,13.372045,0.385592
0.010000,4.979971,19.214632,1.032571,3.415853,7.369760,14.246276,0.396807
