dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.000000,18.000000,0.000007,0.001474,0.147412,14.741245,0.020516
0.010000,4.000000,18.000000,0.000037,0.004422,0.294825,14.741245,0.020523
0.010000,4.000000,18.000000,0.000103,0.008845,0.442237,14.741245,0.020540
0.010000,4.000000,18.000000,0.000221,0.014741,0.589650,14.741245,0.020571
0.010000,4.000000,18.000000,0.000405,0.022112,0.737062,14.741245,0.020618
0.010000,4.000000,18.000000,0.000671,0.030957,0.884475,14.741245,0.020686
0.010000,4.000000,18.000000,0.001032,0.041275,1.031887,14.741245,0.020779
0.010000,4.000000,18.000000,0.001504,0.053068,1.179300,14.741245,0.020900
0.010000,4.000000,18.000000,0.002101,0.066336,1.326712,14.741245,0.021053
0.010000,4.000000,18.000000,0.002838,0.081077,1.474124,14.741245,0.021242
0.010000,4.000000,18.000000,0.003730,0.097292,1.621537,14.741245,0.021471
0.010000,4.000000,18.000000,0.004791,0.114982,1.768949,14.741245,0.021743
0.010000,4.000000,18.000000,0.006037,0.134145,1.916362,14.741245,0.022063
0.010000,4.000629,18.000014,0.007481,0.154783,2.063774,14.741245,0.022433
0.010000,4.002287,18.000052,0.009140,0.176895,2.211187,14.741245,0.022859
0.010000,4.004174,18.000095,0.011026,0.200481,2.358599,14.741245,0.023344
0.010000,4.006303,18.000146,0.013157,0.225541,2.506012,14.741245,0.023891
0.010000,4.008691,18.000203,0.015545,0.252075,2.653424,14.741245,0.024505
0.010000,4.011351,18.000269,0.018205,0.280084,2.800836,14.741245,0.025189
0.010000,4.014297,18.000345,0.021154,0.309566,2.948249,14.741245,0.025947
0.010000,4.017547,18.000430,0.024404,0.340523,3.095661,14.741245,0.026784
0.010000,4.021113,18.000528,0.027972,0.372953,3.243074,14.741245,0.027703
0.010000,4.025011,18.000638,0.031871,0.406858,3.390486,14.741245,0.028708
0.010000,4.029254,18.000762,0.036116,0.442237,3.537899,14.741245,0.029804
0.010000,4.033858,18.000902,0.040723,0.479090,3.685311,14.741245,0.030993
0.010000,4.038839,18.001059,0.045705,0.517418,3.832724,14.741245,0.032281
0.010000,4.044209,18.001237,0.051078,0.557219,3.980136,14.741245,0.033671
0.010000,4.049984,18.001435,0.056857,0.598495,4.127548,14.741245,0.035168
0.010000,4.056179,18.001658,0.063056,0.641244,4.274961,14.741245,0.036775
0.010000,4.062808,18.001908,0.069689,0.685468,4.422373,14.741245,0.038497
0.010000,4.069885,18.002187,0.076772,0.731166,4.569786,14.741245,0.040338
0.010000,4.077427,18.002499,0.084320,0.778338,4.717198,14.741245,0.042303
