dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.020514,17.000210,0.000007,0.001474,0.147412,14.741245,0.020516
0.010000,4.020522,17.000211,0.000015,0.000756,-0.071784,-21.919619,0.020523
0.010000,4.020539,17.000211,0.000032,0.001702,0.094536,16.632011,0.020540
0.010000,4.020569,17.000212,0.000062,0.003025,0.132352,3.781592,0.020571
0.010000,4.020616,17.000213,0.000109,0.004727,0.170170,3.781802,0.020618
0.010000,4.020684,17.000214,0.000178,0.006807,0.207992,3.782146,0.020686
0.010000,4.020777,17.000216,0.000270,0.009265,0.245818,3.782656,0.020779
0.010000,4.020898,17.000218,0.000391,0.012101,0.283652,3.783364,0.020900
0.010000,4.021051,17.000222,0.000544,0.015316,0.321495,3.784303,0.021053
0.010000,4.021240,17.000226,0.000733,0.018910,0.359350,3.785501,0.021242
0.010000,4.021469,17.000230,0.000962,0.022882,0.397220,3.786989,0.021471
0.010000,4.021741,17.000236,0.001235,0.027233,0.435108,3.788791,0.021743
0.010000,4.022061,17.000243,0.001554,0.031963,0.473017,3.790934,0.022063
0.010000,4.023060,17.000266,0.002554,0.099990,6.802629,632.961144,0.022433
0.010000,4.025145,17.000313,0.004639,0.208468,10.847850,404.522177,0.022859
0.010000,4.027515,17.000368,0.007010,0.237148,2.867963,-797.988728,0.023344
0.010000,4.030191,17.000431,0.009687,0.267663,3.051532,18.356846,0.023891
0.010000,4.033193,17.000504,0.012689,0.300236,3.257273,20.574127,0.024505
0.010000,4.036537,17.000587,0.016034,0.334511,3.427485,17.021175,0.025189
0.010000,4.040242,17.000681,0.019741,0.370618,3.610733,18.324861,0.025947
0.010000,4.044328,17.000789,0.023829,0.408792,3.817433,20.669947,0.026784
0.010000,4.048812,17.000911,0.028314,0.448569,3.977666,16.023377,0.027703
0.010000,4.053715,17.001050,0.033219,0.490485,4.191557,21.389067,0.028708
0.010000,4.059054,17.001206,0.038560,0.534074,4.358895,16.733771,0.029804
0.010000,4.064847,17.001382,0.044355,0.579555,4.548104,18.920956,0.030993
0.010000,4.071115,17.001580,0.050626,0.627106,4.755168,20.706360,0.032281
0.010000,4.077874,17.001803,0.057390,0.676348,4.924145,16.897666,0.033671
0.010000,4.085145,17.002054,0.064665,0.727506,5.115854,19.170965,0.035168
0.010000,4.092946,17.002334,0.072471,0.780578,5.307128,19.127412,0.036775
0.010000,4.101295,17.002649,0.080826,0.835556,5.497884,19.075526,0.038497
0.010000,4.110213,17.003001,0.089751,0.892437,5.688035,19.015088,0.040338
0.010000,4.119717,17.003393,0.099263,0.951212,5.877493,18.945894,0.042303
0.010000,4.129826,17.003832,0.109381,1.011873,6.066171,18.867751,0.044395
0.010000,4.140559,17.004321,0.120126,1.074413,6.253976,18.780479,0.046619
0.010000,4.151935,17.004865,0.131515,1.138937,6.452364,19.838850,0.048979
0.010000,4.163974,17.005470,0.143569,1.205411,6.647414,19.504929,0.051481
0.010000,4.176693,17.006142,0.156305,1.273629,6.821790,17.437671,0.054127
0.010000,4.190113,17.006888,0.169746,1.344037,7.040819,21.902879,0.056924
0.010000,4.204250,17.007715,0.183907,1.416161,7.212402,17.158273,0.059875
0.010000,4.219124,17.008630,0.198810,1.490245,7.408349,19.594736,0.062985
0.010000,4.234756,17.009641,0.214474,1.566383,7.613889,20.553986,0.066259
0.010000,4.251162,17.010758,0.230918,1.644410,7.802695,18.880574,0.069701
0.010000,4.268361,17.011990,0.248161,1.724347,7.993667,19.097195,0.073316
0.010000,4.286372,17.013347,0.266224,1.806253,8.190576,19.690975,0.077109
0.010000,4.305215,17.014841,0.285126,1.890197,8.394457,20.388066,0.081085
0.010000,4.324907,17.016482,0.304885,1.975967,8.576980,18.252242,0.085249
0.010000,4.345465,17.018284,0.325522,2.063676,8.770889,19.390919,0.089604
0.010000,4.366909,17.020260,0.347057,2.153507,8.983138,21.224898,0.094157
0.010000,4.389256,17.022424,0.369509,2.245136,9.162837,17.969963,0.098912
0.010000,4.412523,17.024791,0.392896,2.338731,9.359543,19.670560,0.103873
0.010000,4.436728,17.027378,0.417239,2.434322,9.559084,19.954082,0.109045
0.010000,4.461889,17.030201,0.442558,2.531873,9.755079,19.599572,0.114434
0.010000,4.488022,17.033279,0.468871,2.631346,9.947334,19.225442,0.120043
0.010000,4.515143,17.036631,0.496198,2.732703,10.135653,18.831922,0.125877
0.010000,4.543257,17.040275,0.524548,2.834964,10.226111,9.045757,0.131938
0.010000,4.572364,17.044231,0.553923,2.937477,10.251325,2.521395,0.138228
0.010000,4.602458,17.048517,0.584320,3.039756,10.227899,-2.342523,0.144745
0.010000,4.633535,17.053154,0.615741,3.142091,10.233487,0.558736,0.151489
0.010000,4.665590,17.058162,0.648185,3.244421,10.232988,-0.049891,0.158461
0.010000,4.698619,17.063562,0.681652,3.346685,10.226423,-0.656489,0.165659
0.010000,4.732613,17.069376,0.716141,3.448823,10.213823,-1.259979,0.173082
0.010000,4.767567,17.075624,0.751648,3.550776,10.195230,-1.859288,0.180729
0.010000,4.803472,17.082331,0.788174,3.652586,10.181050,-1.417986,0.188598
0.010000,4.840319,17.089519,0.825716,3.754196,10.160944,-2.010597,0.196687
0.010000,4.878100,17.097210,0.864272,3.855580,10.138498,-2.244652,0.204994
0.010000,4.916803,17.105429,0.903838,3.956611,10.103070,-3.542777,0.213515
0.010000,4.956417,17.114200,0.944411,4.057312,10.070050,-3.301975,0.222247
0.010000,4.996929,17.123545,0.985987,4.157604,10.029227,-4.082358,0.231186
0.010000,5.038326,17.133490,1.028562,4.257472,9.986822,-4.240512,0.240328
0.010000,5.080594,17.144058,1.072130,4.356846,9.937395,-4.942630,0.249667
0.010000,5.123715,17.155272,1.116686,4.455598,9.875227,-6.216871,0.259198
0.010000,5.167674,17.167158,1.162224,4.553730,9.813155,-6.207184,0.268915
0.010000,5.212453,17.179737,1.208736,4.651224,9.749404,-6.375091,0.278810
0.010000,5.258032,17.193034,1.256215,4.747919,9.669550,-7.985377,0.288876
0.010000,5.304392,17.207070,1.304653,4.843834,9.591464,-7.808588,0.299105
0.010000,5.351511,17.221868,1.354042,4.938815,9.498110,-9.335401,0.309488
0.010000,5.399367,17.237449,1.404370,5.032815,9.399986,-9.812416,0.320016
0.010000,5.447937,17.253833,1.455628,5.125880,9.306451,-9.353552,0.330677
0.010000,5.497196,17.271041,1.507806,5.217786,9.190630,-11.582105,0.341462
0.010000,5.547118,17.289090,1.560892,5.308549,9.076355,-11.427488,0.352358
0.010000,5.597680,17.307998,1.614873,5.398100,8.955060,-12.129481,0.363354
0.010000,5.648852,17.327781,1.669736,5.486362,8.826206,-12.885348,0.374436
0.010000,5.700609,17.348455,1.725469,5.573274,8.691222,-13.498469,0.385592
0.010000,5.752922,17.370032,1.782058,5.658832,8.555780,-13.544202,0.396807
0.010000,5.805762,17.392526,1.839486,5.742883,8.405136,-15.064397,0.408067
0.010000,5.859102,17.415945,1.897741,5.825459,8.257560,-14.757585,0.419356
0.010000,5.912912,17.440300,1.956806,5.906504,8.104506,-15.305430,0.430660
0.010000,5.967163,17.465597,2.016665,5.985949,7.944522,-15.998336,0.441962
0.010000,6.021827,17.491843,2.077303,6.063794,7.784511,-16.001167,0.453247
0.010000,6.076875,17.519040,2.138703,6.139986,7.619119,-16.539180,0.464497
0.010000,6.132279,17.547191,2.200848,6.214506,7.451992,-16.712674,0.475697
0.010000,6.188010,17.576296,2.263722,6.287364,7.285868,-16.612389,0.486829
0.010000,6.244042,17.606353,2.327307,6.358516,7.115145,-17.072281,0.497877
0.010000,6.300349,17.637361,2.391587,6.427975,6.945907,-16.923820,0.508823
0.010000,6.356904,17.669312,2.456544,6.495739,6.776427,-16.948021,0.519651
0.010000,6.413685,17.702202,2.522162,6.561813,6.607398,-16.902901,0.530343
0.010000,6.470667,17.736021,2.588425,6.626209,6.439567,-16.783134,0.540884
0.010000,6.527828,17.770760,2.655314,6.688940,6.273128,-16.643813,0.551256
0.010000,6.585147,17.806408,2.722814,6.750029,6.108895,-16.423389,0.561442
0.010000,6.642606,17.842951,2.790909,6.809494,5.946498,-16.239669,0.571427
0.010000,6.700187,17.880375,2.859583,6.867368,5.787389,-15.910908,0.581195
0.010000,6.757872,17.918665,2.928820,6.923673,5.630550,-15.683870,0.590730
0.010000,6.815648,17.957803,2.998604,6.978441,5.476776,-15.377357,0.600017
0.010000,6.873502,17.997771,3.068921,7.031704,5.326293,-15.048378,0.609040
0.010000,6.931422,18.038549,3.139756,7.083496,5.179200,-14.709239,0.617785
0.010000,6.989398,18.080118,3.211094,7.133832,5.033583,-14.561770,0.626238
0.010000,7.047422,18.122455,3.282922,7.182770,4.893791,-13.979130,0.634383
0.010000,7.105488,18.165536,3.355225,7.230303,4.753370,-14.042113,0.642208
0.010000,7.163591,18.209340,3.427990,7.276490,4.618691,-13.467957,0.649699
