dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,25.288563,3.042539,0.000007,0.001480,0.147966,14.796634,3.434319
0.010000,25.288558,3.042538,0.000012,0.000505,-0.097455,-24.542167,3.434314
0.010000,25.288548,3.042534,0.000024,0.001136,0.063138,16.059374,3.434302
0.010000,25.288528,3.042529,0.000044,0.002020,0.088393,2.525437,3.434282
0.010000,25.288498,3.042520,0.000076,0.003157,0.113646,2.525286,3.434250
0.010000,25.288455,3.042506,0.000121,0.004546,0.138896,2.525037,3.434205
0.010000,25.288395,3.042489,0.000183,0.006187,0.164143,2.524667,3.434143
0.010000,25.288318,3.042465,0.000264,0.008081,0.189384,2.524151,3.434062
0.010000,25.288220,3.042436,0.000366,0.010227,0.214619,2.523464,3.433960
0.010000,25.288099,3.042399,0.000492,0.012626,0.239845,2.522580,3.433834
0.010000,25.287953,3.042355,0.000645,0.015276,0.265059,2.521474,3.433681
0.010000,25.287779,3.042303,0.000827,0.018179,0.290261,2.520120,3.433499
0.010000,25.287574,3.042242,0.001040,0.021333,0.315445,2.518489,3.433286
0.010000,25.287276,3.042152,0.001352,0.031155,0.982123,66.667774,3.433039
0.010000,25.285409,3.041592,0.003301,0.194896,16.374142,1539.201860,3.432754
0.010000,25.283285,3.040956,0.005518,0.221723,2.682695,-1369.144647,3.432431
0.010000,25.280887,3.040239,0.008021,0.250272,2.854902,17.220682,3.432067
0.010000,25.278199,3.039436,0.010826,0.280581,3.030864,17.596202,3.431658
0.010000,25.275203,3.038542,0.013953,0.312676,3.209508,17.864401,3.431202
0.010000,25.271883,3.037554,0.017417,0.346392,3.371672,16.216401,3.430697
0.010000,25.268221,3.036466,0.021237,0.381942,3.554911,18.323885,3.430141
0.010000,25.264203,3.035275,0.025428,0.419158,3.721606,16.669461,3.429530
0.010000,25.259810,3.033975,0.030010,0.458142,3.898403,17.679761,3.428862
0.010000,25.255025,3.032563,0.034998,0.498817,4.067523,16.911975,3.428135
0.010000,25.249832,3.031036,0.040411,0.541299,4.248223,18.070007,3.427346
0.010000,25.244215,3.029388,0.046265,0.585413,4.411435,16.321173,3.426493
0.010000,25.238155,3.027616,0.052578,0.631323,4.590936,17.950146,3.425573
