dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,25.000000,4.000000,0.000007,0.001480,0.147966,14.796634,3.434319
0.010000,25.000000,4.000000,0.000037,0.004439,0.295933,14.796634,3.434314
0.010000,25.000000,4.000000,0.000104,0.008878,0.443899,14.796634,3.434302
0.010000,25.000000,4.000000,0.000222,0.014797,0.591865,14.796634,3.434282
0.010000,25.000000,4.000000,0.000407,0.022195,0.739832,14.796634,3.434250
0.010000,25.000000,4.000000,0.000673,0.031073,0.887798,14.796634,3.434205
0.010000,25.000000,4.000000,0.001036,0.041431,1.035764,14.796634,3.434143
0.010000,25.000000,4.000000,0.001509,0.053268,1.183731,14.796634,3.434062
0.010000,25.000000,4.000000,0.002109,0.066585,1.331697,14.796634,3.433960
0.010000,25.000000,4.000000,0.002848,0.081381,1.479663,14.796634,3.433834
0.010000,25.000000,4.000000,0.003744,0.097658,1.627630,14.796634,3.433681
0.010000,25.000000,4.000000,0.004809,0.115414,1.775596,14.796634,3.433499
0.010000,25.000000,4.000000,0.006059,0.134649,1.923562,14.796634,3.433286
0.010000,24.999939,3.999982,0.007509,0.155365,2.071529,14.796634,3.433039
0.010000,24.998344,3.999503,0.009174,0.177560,2.219495,14.796634,3.432754
0.010000,24.996529,3.998960,0.011068,0.201234,2.367461,14.796634,3.432431
0.010000,24.994481,3.998347,0.013206,0.226389,2.515428,14.796634,3.432067
0.010000,24.992184,3.997661,0.015603,0.253022,2.663394,14.796634,3.431658
0.010000,24.989625,3.996898,0.018274,0.281136,2.811360,14.796634,3.431202
0.010000,24.986789,3.996054,0.021233,0.310729,2.959327,14.796634,3.430697
0.010000,24.983661,3.995124,0.024496,0.341802,3.107293,14.796634,3.430141
0.010000,24.980228,3.994106,0.028077,0.374355,3.255259,14.796634,3.429530
0.010000,24.976475,3.992996,0.031990,0.408387,3.403226,14.796634,3.428862
0.010000,24.972388,3.991790,0.036252,0.443899,3.551192,14.796634,3.428135
0.010000,24.967952,3.990485,0.040876,0.480891,3.699159,14.796634,3.427346
0.010000,24.963153,3.989077,0.045877,0.519362,3.847125,14.796634,3.426493
0.010000,24.957976,3.987564,0.051270,0.559313,3.995091,14.796634,3.425573
0.010000,24.952407,3.985941,0.057071,0.600743,4.143058,14.796634,3.424584
0.010000,24.946432,3.984207,0.063293,0.643654,4.291024,14.796634,3.423523
0.010000,24.940035,3.982358,0.069951,0.688043,4.438990,14.796634,3.422387
0.010000,24.933203,3.980392,0.077061,0.733913,4.586957,14.796634,3.421175
0.010000,24.925920,3.978306,0.084637,0.781262,4.734923,14.796634,3.419883
0.010000,24.918171,3.976098,0.092694,0.830091,4.882889,14.796634,3.418509
0.010000,24.909943,3.973766,0.101246,0.880400,5.030856,14.796634,3.417051
0.010000,24.901220,3.971308,0.110309,0.932188,5.178822,14.796634,3.415507
0.010000,24.891987,3.968722,0.119897,0.985456,5.326788,14.796634,3.413872
0.010000,24.882229,3.966007,0.130025,1.040203,5.474755,14.796634,3.412147
0.010000,24.871933,3.963161,0.140709,1.096431,5.622721,14.796634,3.410327
0.010000,24.861080,3.960183,0.151961,1.154137,5.770687,14.796634,3.408410
0.010000,24.849659,3.957074,0.163799,1.213324,5.918654,14.796634,3.406394
0.010000,24.837652,3.953832,0.176235,1.273990,6.066620,14.796634,3.404277
