dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,24.711437,4.957461,0.000007,0.001480,0.147966,14.796634,3.434319
0.010000,24.711442,4.957462,0.000012,0.000505,-0.097455,-24.542167,3.434314
0.010000,24.711452,4.957466,0.000024,0.001136,0.063138,16.059374,3.434302
0.010000,24.711472,4.957471,0.000044,0.002020,0.088393,2.525437,3.434282
0.010000,24.711502,4.957480,0.000076,0.003157,0.113646,2.525286,3.434250
0.010000,24.711545,4.957494,0.000121,0.004546,0.138896,2.525037,3.434205
0.010000,24.711605,4.957511,0.000183,0.006187,0.164143,2.524667,3.434143
0.010000,24.711682,4.957535,0.000264,0.008081,0.189384,2.524151,3.434062
0.010000,24.711780,4.957564,0.000366,0.010227,0.214619,2.523464,3.433960
0.010000,24.711901,4.957601,0.000492,0.012626,0.239845,2.522580,3.433834
0.010000,24.712047,4.957645,0.000645,0.015276,0.265059,2.521474,3.433681
0.010000,24.712221,4.957697,0.000827,0.018179,0.290261,2.520120,3.433499
0.010000,24.712426,4.957758,0.001040,0.021333,0.315445,2.518489,3.433286
0.010000,24.712601,4.957811,0.001223,0.018325,-0.300849,-61.629451,3.433039
0.010000,24.711278,4.957414,0.002604,0.138088,11.976352,1227.720088,3.432754
0.010000,24.709774,4.956964,0.004175,0.157096,1.900769,-1007.558321,3.432431
0.010000,24.708075,4.956456,0.005948,0.177324,2.022791,12.202268,3.432067
0.010000,24.706170,4.955887,0.007936,0.198799,2.147479,12.468763,3.431658
0.010000,24.704047,4.955253,0.010152,0.221540,2.274073,12.659364,3.431202
0.010000,24.701695,4.954553,0.012606,0.245430,2.388997,11.492459,3.430697
0.010000,24.699100,4.953782,0.015312,0.270618,2.518864,12.986644,3.430141
0.010000,24.696253,4.952938,0.018282,0.296988,2.637020,11.815674,3.429530
0.010000,24.693140,4.952017,0.021528,0.324612,2.762351,12.533075,3.428862
0.010000,24.689750,4.951017,0.025063,0.353434,2.882261,11.991032,3.428135
0.010000,24.686071,4.949935,0.028898,0.383538,3.010401,12.813987,3.427346
0.010000,24.682091,4.948767,0.033046,0.414800,3.126180,11.577845,3.426493
0.010000,24.677797,4.947512,0.037519,0.447336,3.253537,12.735710,3.425573
0.010000,24.673178,4.946166,0.042331,0.481115,3.377887,12.435025,3.424584
0.010000,24.668222,4.944728,0.047491,0.516084,3.496982,11.909456,3.423523
0.010000,24.662916,4.943194,0.053014,0.552291,3.620709,12.372708,3.422387
0.010000,24.657249,4.941563,0.058912,0.589733,3.744200,12.349141,3.421175
0.010000,24.651207,4.939833,0.065196,0.628408,3.867435,12.323465,3.419883
0.010000,24.644780,4.938001,0.071879,0.668312,3.990393,12.295804,3.418509
0.010000,24.637955,4.936067,0.078973,0.709442,4.113056,12.266308,3.417051
0.010000,24.630718,4.934028,0.086491,0.751796,4.235407,12.235155,3.415507
0.010000,24.623059,4.931882,0.094445,0.795414,4.361752,12.634437,3.413872
0.010000,24.614964,4.929630,0.102848,0.840263,4.484876,12.312385,3.412147
0.010000,24.606421,4.927269,0.111711,0.886287,4.602413,11.753776,3.410327
0.010000,24.597418,4.924798,0.121047,0.933655,4.736817,13.440348,3.408410
0.010000,24.587941,4.922218,0.130869,0.982150,4.849512,11.269477,3.406394
0.010000,24.577978,4.919528,0.141189,1.031968,4.981784,13.227220,3.404277
0.010000,24.567517,4.916727,0.152019,1.082999,5.103090,12.130569,3.402057
0.010000,24.556544,4.913816,0.163371,1.135263,5.226453,12.336311,3.399730
0.010000,24.545046,4.910796,0.175259,1.188786,5.352248,12.579526,3.397295
