dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.000000,11.000000,0.000004,0.000792,0.079227,7.922698,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,-0.079227,-15.845395,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,7.922698,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000000,11.000000,0.000004,0.000000,0.000000,0.000000,0.000000
0.010000,5.000926,11.000000,0.000930,0.092618,9.261777,926.177745,0.000000
0.010000,5.002071,11.000000,0.002075,0.114483,2.186520,-707.525699,0.000000
0.010000,5.003354,11.000000,0.003358,0.128348,1.386472,-80.004840,0.000000
0.010000,5.004785,11.000000,0.004788,0.143005,1.465699,7.922698,0.000000
0.010000,5.006369,11.000000,0.006373,0.158454,1.544926,7.922698,0.000000
0.010000,5.008116,11.000000,0.008120,0.174695,1.624153,7.922698,0.000000
0.010000,5.010033,11.000000,0.010037,0.191729,1.703380,7.922698,0.000000
0.010000,5.012129,11.000000,0.012133,0.209555,1.782607,7.922698,0.000000
0.010000,5.014411,11.000000,0.014415,0.228174,1.861834,7.922698,0.000000
0.010000,5.016886,11.000000,0.016890,0.247584,1.941061,7.922698,0.000000
0.010000,5.019564,11.000000,0.019568,0.267787,2.020288,7.922698,0.000000
0.010000,5.022452,11.000000,0.022456,0.288782,2.099515,7.922698,0.000000
0.010000,5.025558,11.000000,0.025562,0.310570,2.178742,7.922698,0.000000
0.010000,5.028889,11.000000,0.028893,0.333149,2.257969,7.922698,0.000000
0.010000,5.032455,11.000000,0.032459,0.356521,2.337196,7.922698,0.000000
0.010000,5.036261,11.000000,0.036265,0.380686,2.416423,7.922698,0.000000
0.010000,5.040318,11.000000,0.040322,0.405642,2.495650,7.922698,0.000000
0.010000,5.044632,11.000000,0.044636,0.431391,2.574877,7.922698,0.000000
0.010000,5.049211,11.000000,0.049215,0.457932,2.654104,7.922698,0.000000
0.010000,5.054064,11.000000,0.054068,0.485265,2.733331,7.922698,0.000000
0.010000,5.059198,11.000000,0.059202,0.513391,2.812558,7.922698,0.000000
0.010000,5.064621,11.000000,0.064625,0.542309,2.891785,7.922698,0.000000
0.010000,5.070341,11.000000,0.070345,0.572019,2.971012,7.922698,0.000000
0.010000,5.076366,11.000000,0.076370,0.602521,3.050239,7.922698,0.000000
0.010000,5.082704,11.000000,0.082708,0.633816,3.129466,7.922698,0.000000
0.010000,5.089363,11.000000,0.089367,0.665903,3.208692,7.922698,0.000000
0.010000,5.096351,11.000000,0.096355,0.698782,3.287919,7.922698,0.000000
0.010000,5.103676,11.000000,0.103680,0.732453,3.367146,7.922698,0.000000
0.010000,5.111345,11.000000,0.111349,0.766917,3.446373,7.922698,0.000000
0.010000,5.119363,11.000000,0.119367,0.801777,3.485987,3.961349,0.000000
0.010000,5.127729,11.000000,0.127733,0.836637,3.485987,0.000000,0.000000
0.010000,5.136444,11.000000,0.136448,0.871497,3.485987,0.000000,0.000000
0.010000,5.145507,11.000000,0.145511,0.906357,3.485987,0.000000,0.000000
0.010000,5.154920,11.000000,0.154924,0.941216,3.485987,0.000000,0.000000
0.010000,5.164680,11.000000,0.164684,0.976076,3.485987,-0.000000,0.000000
0.010000,5.174790,11.000000,0.174794,1.010936,3.485987,0.000000,0.000000
0.010000,5.185248,11.000000,0.185252,1.045796,3.485987,-0.000000,0.000000
0.010000,5.196054,11.000000,0.196058,1.080656,3.485987,0.000000,0.000000
0.010000,5.207209,11.000000,0.207213,1.115516,3.485987,0.000000,0.000000
0.010000,5.218713,11.000000,0.218717,1.150376,3.485987,-0.000000,0.000000
0.010000,5.230566,11.000000,0.230570,1.185236,3.485987,0.000000,0.000000
0.010000,5.242767,11.000000,0.242770,1.220095,3.485987,-0.000000,0.000000
0.010000,5.255316,11.000000,0.255320,1.254955,3.485987,0.000000,0.000000
0.010000,5.268214,11.000000,0.268218,1.289815,3.485987,-0.000000,0.000000
0.010000,5.281461,11.000000,0.281465,1.324675,3.485987,0.000000,0.000000
0.010000,5.295056,11.000000,0.295060,1.359535,3.485987,0.000000,0.000000
0.010000,5.309000,11.000000,0.309004,1.394395,3.485987,-0.000000,0.000000
0.010000,5.323293,11.000000,0.323297,1.429255,3.485987,0.000000,0.000000
0.010000,5.337934,11.000000,0.337938,1.464115,3.485987,-0.000000,0.000000
0.010000,5.352924,11.000000,0.352928,1.498974,3.485987,0.000000,0.000000
0.010000,5.368262,11.000000,0.368266,1.533834,3.485987,0.000000,0.000000
