dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.000000,10.000000,0.000004,0.000792,0.079227,7.922698,0.000000
0.010000,5.000000,10.000000,0.000020,0.002377,0.158454,7.922698,0.000000
0.010000,5.000000,10.000000,0.000055,0.004754,0.237681,7.922698,0.000000
0.010000,5.000000,10.000000,0.000119,0.007923,0.316908,7.922698,0.000000
0.010000,5.000000,10.000000,0.000218,0.011884,0.396135,7.922698,0.000000
0.010000,5.000000,10.000000,0.000360,0.016638,0.475362,7.922698,0.000000
0.010000,5.000000,10.000000,0.000555,0.022184,0.554589,7.922698,0.000000
0.010000,5.000000,10.000000,0.000808,0.028522,0.633816,7.922698,0.000000
0.010000,5.000000,10.000000,0.001129,0.035652,0.713043,7.922698,0.000000
0.010000,5.000000,10.000000,0.001525,0.043575,0.792270,7.922698,0.000000
0.010000,5.000000,10.000000,0.002004,0.052290,0.871497,7.922698,0.000000
0.010000,5.000000,10.000000,0.002575,0.061797,0.950724,7.922698,0.000000
0.010000,5.000000,10.000000,0.003244,0.072097,1.029951,7.922698,0.000000
0.010000,5.000000,10.000000,0.004021,0.083188,1.109178,7.922698,0.000000
0.010000,5.000000,10.000000,0.004912,0.095072,1.188405,7.922698,0.000000
0.010000,5.000926,10.000000,0.005926,0.107749,1.267632,7.922698,0.000000
0.010000,5.002071,10.000000,0.007071,0.121217,1.346859,7.922698,0.000000
0.010000,5.003354,10.000000,0.008354,0.135478,1.426086,7.922698,0.000000
0.010000,5.004785,10.000000,0.009785,0.150531,1.505313,7.922698,0.000000
0.010000,5.006369,10.000000,0.011369,0.166377,1.584540,7.922698,0.000000
0.010000,5.008116,10.000000,0.013116,0.183014,1.663766,7.922698,0.000000
0.010000,5.010033,10.000000,0.015033,0.200444,1.742993,7.922698,0.000000
0.010000,5.012129,10.000000,0.017129,0.218666,1.822220,7.922698,0.000000
0.010000,5.014411,10.000000,0.019411,0.237681,1.901447,7.922698,0.000000
0.010000,5.016886,10.000000,0.021886,0.257488,1.980674,7.922698,0.000000
0.010000,5.019564,10.000000,0.024564,0.278087,2.059901,7.922698,0.000000
0.010000,5.022452,10.000000,0.027452,0.299478,2.139128,7.922698,0.000000
0.010000,5.025558,10.000000,0.030558,0.321662,2.218355,7.922698,0.000000
0.010000,5.028889,10.000000,0.033889,0.344637,2.297582,7.922698,0.000000
0.010000,5.032455,10.000000,0.037455,0.368405,2.376809,7.922698,0.000000
0.010000,5.036261,10.000000,0.041261,0.392966,2.456036,7.922698,0.000000
0.010000,5.040318,10.000000,0.045318,0.418318,2.535263,7.922698,0.000000
0.010000,5.044632,10.000000,0.049632,0.444463,2.614490,7.922698,0.000000
0.010000,5.049211,10.000000,0.054211,0.471401,2.693717,7.922698,0.000000
0.010000,5.054064,10.000000,0.059064,0.499130,2.772944,7.922698,0.000000
0.010000,5.059198,10.000000,0.064198,0.527652,2.852171,7.922698,0.000000
0.010000,5.064621,10.000000,0.069621,0.556966,2.931398,7.922698,0.000000
0.010000,5.070341,10.000000,0.075341,0.587072,3.010625,7.922698,0.000000
0.010000,5.076366,10.000000,0.081366,0.617970,3.089852,7.922698,0.000000
0.010000,5.082704,10.000000,0.087704,0.649661,3.169079,7.922698,0.000000
0.010000,5.089363,10.000000,0.094363,0.682144,3.248306,7.922698,0.000000
0.010000,5.096351,10.000000,0.101351,0.715420,3.327533,7.922698,0.000000
0.010000,5.103676,10.000000,0.108676,0.749487,3.406760,7.922698,0.000000
0.010000,5.111345,10.000000,0.116345,0.784347,3.485987,7.922698,0.000000
0.010000,5.119363,10.000000,0.124363,0.819207,3.485987,-0.000000,0.000000
0.010000,5.127729,10.000000,0.132729,0.854067,3.485987,0.000000,0.000000
0.010000,5.136444,10.000000,0.141444,0.888927,3.485987,0.000000,0.000000
0.010000,5.145507,10.000000,0.150507,0.923787,3.485987,-0.000000,0.000000
0.010000,5.154920,10.000000,0.159920,0.958646,3.485987,0.000000,0.000000
0.010000,5.164680,10.000000,0.169680,0.993506,3.485987,-0.000000,0.000000
0.010000,5.174790,10.000000,0.179790,1.028366,3.485987,0.000000,0.000000
0.010000,5.185248,10.000000,0.190248,1.063226,3.485987,-0.000000,0.000000
0.010000,5.196054,10.000000,0.201054,1.098086,3.485987,0.000000,0.000000
0.010000,5.207209,10.000000,0.212209,1.132946,3.485987,-0.000000,0.000000
0.010000,5.218713,10.000000,0.223713,1.167806,3.485987,0.000000,0.000000
0.010000,5.230566,10.000000,0.235566,1.202665,3.485987,-0.000000,0.000000
0.010000,5.242767,10.000000,0.247767,1.237525,3.485987,0.000000,0.000000
0.010000,5.255316,10.000000,0.260316,1.272385,3.485987,0.000000,0.000000
0.010000,5.268214,10.000000,0.273214,1.307245,3.485987,-0.000000,0.000000
0.010000,5.281461,10.000000,0.286461,1.342105,3.485987,0.000000,0.000000
0.010000,5.295056,10.000000,0.300056,1.376965,3.485987,0.000000,0.000000
0.010000,5.309000,10.000000,0.314000,1.411825,3.485987,-0.000000,0.000000
0.010000,5.323293,10.000000,0.328293,1.446685,3.485987,0.000000,0.000000
0.010000,5.337934,10.000000,0.342934,1.481544,3.485987,0.000000,0.000000
