dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.002993,10.999996,0.000004,0.000800,0.080000,8.000000,0.002993
0.010000,-0.002991,10.999996,0.000006,0.000239,-0.056096,-13.609594,0.002991
0.010000,-0.002986,10.999996,0.000012,0.000538,0.029880,8.597630,0.002986
0.010000,-0.002976,10.999996,0.000021,0.000956,0.041833,1.195293,0.002976
0.010000,-0.002961,10.999996,0.000036,0.001494,0.053787,1.195413,0.002961
0.010000,-0.002940,10.999996,0.000058,0.002151,0.065744,1.195610,0.002940
0.010000,-0.002910,10.999996,0.000087,0.002929,0.077703,1.195904,0.002910
0.010000,-0.002872,10.999996,0.000125,0.003825,0.089666,1.196312,0.002872
0.010000,-0.002824,10.999996,0.000174,0.004842,0.101634,1.196855,0.002824
0.010000,-0.002764,10.999996,0.000234,0.005978,0.113610,1.197551,0.002764
0.010000,-0.002692,10.999996,0.000306,0.007234,0.125594,1.198421,0.002692
0.010000,-0.002605,10.999997,0.000392,0.008609,0.137589,1.199482,0.002605
0.010000,-0.002504,10.999997,0.000493,0.010105,0.149596,1.200754,0.002504
0.010000,-0.002387,10.999997,0.000610,0.011722,0.161619,1.202257,0.002387
0.010000,-0.002253,10.999997,0.000745,0.013458,0.173659,1.204010,0.002253
0.010000,-0.002099,10.999998,0.000898,0.015315,0.185719,1.206031,0.002099
0.010000,-0.001927,10.999998,0.001071,0.017293,0.197803,1.208340,0.001927
0.010000,-0.001733,10.999998,0.001265,0.019393,0.209912,1.210957,0.001733
0.010000,-0.001516,10.999999,0.001481,0.021613,0.222051,1.213900,0.001516
0.010000,-0.001277,10.999999,0.001720,0.023955,0.234223,1.217188,0.001277
0.010000,-0.001013,10.999999,0.001985,0.026420,0.246432,1.220842,0.001013
0.010000,-0.000723,11.000000,0.002275,0.029006,0.258680,1.224879,0.000723
0.010000,-0.000405,11.000000,0.002592,0.031716,0.270974,1.229319,0.000405
0.010000,-0.000060,11.000000,0.002937,0.034549,0.283315,1.234182,0.000060
0.010000,0.002418,11.000000,0.005416,0.247835,21.328584,2104.526845,6.282870
0.010000,0.005531,10.999998,0.008529,0.311314,6.347857,-1498.072633,6.282463
0.010000,0.008888,10.999995,0.011885,0.335623,2.430926,-391.693175,6.282025
0.010000,0.012496,10.999990,0.015493,0.360830,2.520741,8.981515,6.281553
0.010000,0.016365,10.999983,0.019363,0.386933,2.610270,8.952904,6.281046
0.010000,0.020505,10.999973,0.023502,0.413928,2.699493,8.922261,6.280504
0.010000,0.024929,10.999959,0.027926,0.442396,2.846753,14.726042,6.279923
0.010000,0.029648,10.999943,0.032646,0.471992,2.959614,11.286116,6.279303
0.010000,0.034666,10.999921,0.037663,0.501731,2.973931,1.431725,6.278643
0.010000,0.039989,10.999895,0.042987,0.532351,3.061965,8.803349,6.277942
0.010000,0.045628,10.999864,0.048625,0.563846,3.149580,8.761495,6.277198
0.010000,0.051607,10.999826,0.054604,0.597915,3.406833,25.725353,6.276408
0.010000,0.057920,10.999780,0.060918,0.631330,3.341574,-6.525884,6.275572
0.010000,0.064575,10.999726,0.067573,0.665528,3.419755,7.818049,6.274690
0.010000,0.071589,10.999664,0.074587,0.701420,3.589172,16.941681,6.273759
0.010000,0.078975,10.999590,0.081974,0.738694,3.727399,13.822754,6.272776
0.010000,0.086730,10.999506,0.089730,0.775561,3.686732,-4.066688,6.271742
0.010000,0.094872,10.999408,0.097872,0.814240,3.867891,18.115898,6.270654
0.010000,0.103415,10.999296,0.106416,0.854360,4.011972,14.408083,6.269510
0.010000,0.112353,10.999169,0.115354,0.893857,3.949744,-6.222834,6.268311
0.010000,0.121715,10.999023,0.124718,0.936349,4.249212,29.946769,6.267051
