dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,10.000000,0.000004,0.000800,0.080000,8.000000,0.002993
0.010000,0.000000,10.000000,0.000020,0.002400,0.160000,8.000000,0.002991
0.010000,0.000000,10.000000,0.000056,0.004800,0.240000,8.000000,0.002986
0.010000,0.000000,10.000000,0.000120,0.008000,0.320000,8.000000,0.002976
0.010000,0.000000,10.000000,0.000220,0.012000,0.400000,8.000000,0.002961
0.010000,0.000000,10.000000,0.000364,0.016800,0.480000,8.000000,0.002940
0.010000,0.000000,10.000000,0.000560,0.022400,0.560000,8.000000,0.002910
0.010000,0.000000,10.000000,0.000816,0.028800,0.640000,8.000000,0.002872
0.010000,0.000000,10.000000,0.001140,0.036000,0.720000,8.000000,0.002824
0.010000,0.000000,10.000000,0.001540,0.044000,0.800000,8.000000,0.002764
0.010000,0.000000,10.000000,0.002024,0.052800,0.880000,8.000000,0.002692
0.010000,0.000000,10.000000,0.002600,0.062400,0.960000,8.000000,0.002605
0.010000,0.000000,10.000000,0.003276,0.072800,1.040000,8.000000,0.002504
0.010000,0.000000,10.000000,0.004060,0.084000,1.120000,8.000000,0.002387
0.010000,0.000000,10.000000,0.004960,0.096000,1.200000,8.000000,0.002253
0.010000,0.000000,10.000000,0.005984,0.108800,1.280000,8.000000,0.002099
0.010000,0.000000,10.000000,0.007140,0.122400,1.360000,8.000000,0.001927
0.010000,0.000000,10.000000,0.008436,0.136800,1.440000,8.000000,0.001733
0.010000,0.000000,10.000000,0.009880,0.152000,1.520000,8.000000,0.001516
0.010000,0.000000,10.000000,0.011480,0.168000,1.600000,8.000000,0.001277
0.010000,0.000000,10.000000,0.013244,0.184800,1.680000,8.000000,0.001013
0.010000,0.000000,10.000000,0.015180,0.202400,1.760000,8.000000,0.000723
0.010000,0.000000,10.000000,0.017296,0.220800,1.840000,8.000000,0.000405
0.010000,0.000000,10.000000,0.019600,0.240000,1.920000,8.000000,0.000060
0.010000,0.002103,10.000000,0.022100,0.260000,2.000000,8.000000,6.282870
