dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.002993,9.000004,0.000004,0.000800,0.080000,8.000000,0.002993
0.010000,0.002991,9.000004,0.000006,0.000239,-0.056096,-13.609594,0.002991
0.010000,0.002986,9.000004,0.000012,0.000538,0.029880,8.597630,0.002986
0.010000,0.002976,9.000004,0.000021,0.000956,0.041833,1.195293,0.002976
0.010000,0.002961,9.000004,0.000036,0.001494,0.053787,1.195413,0.002961
0.010000,0.002940,9.000004,0.000058,0.002151,0.065744,1.195610,0.002940
0.010000,0.002910,9.000004,0.000087,0.002929,0.077703,1.195904,0.002910
0.010000,0.002872,9.000004,0.000125,0.003825,0.089666,1.196312,0.002872
0.010000,0.002824,9.000004,0.000174,0.004842,0.101634,1.196855,0.002824
0.010000,0.002764,9.000004,0.000234,0.005978,0.113610,1.197551,0.002764
0.010000,0.002692,9.000004,0.000306,0.007234,0.125594,1.198421,0.002692
0.010000,0.002605,9.000003,0.000392,0.008609,0.137589,1.199482,0.002605
0.010000,0.002504,9.000003,0.000493,0.010105,0.149596,1.200754,0.002504
0.010000,0.002387,9.000003,0.000610,0.011722,0.161619,1.202257,0.002387
0.010000,0.002253,9.000003,0.000745,0.013458,0.173659,1.204010,0.002253
0.010000,0.002099,9.000002,0.000898,0.015315,0.185719,1.206031,0.002099
0.010000,0.001927,9.000002,0.001071,0.017293,0.197803,1.208340,0.001927
0.010000,0.001733,9.000002,0.001265,0.019393,0.209912,1.210957,0.001733
0.010000,0.001516,9.000001,0.001481,0.021613,0.222051,1.213900,0.001516
0.010000,0.001277,9.000001,0.001720,0.023955,0.234223,1.217188,0.001277
0.010000,0.001013,9.000001,0.001985,0.026420,0.246432,1.220842,0.001013
0.010000,0.000723,9.000000,0.002275,0.029006,0.258680,1.224879,0.000723
0.010000,0.000405,9.000000,0.002592,0.031716,0.270974,1.229319,0.000405
0.010000,0.000060,9.000000,0.002937,0.034549,0.283315,1.234182,0.000060
0.010000,0.001787,9.000000,0.004665,0.172728,13.817864,1353.454905,6.282870
0.010000,0.004087,8.999999,0.006965,0.230016,5.728804,-808.906053,6.282463
0.010000,0.006566,8.999996,0.009444,0.247902,1.788601,-394.020269,6.282025
0.010000,0.009231,8.999992,0.012108,0.266434,1.853212,6.461089,6.281553
0.010000,0.012087,8.999987,0.014964,0.285608,1.917391,6.417911,6.281046
0.010000,0.015141,8.999980,0.018018,0.305419,1.981107,6.371624,6.280504
0.010000,0.018404,8.999970,0.021281,0.326293,2.087368,10.626012,6.279923
0.010000,0.021884,8.999958,0.024761,0.347972,2.167926,8.055801,6.279303
0.010000,0.025581,8.999942,0.028458,0.369728,2.175553,0.762789,6.278643
0.010000,0.029502,8.999923,0.032379,0.392100,2.237254,6.170102,6.277942
0.010000,0.033653,8.999900,0.036530,0.415083,2.298320,6.106523,6.277198
0.010000,0.038052,8.999871,0.040929,0.439921,2.483816,18.549595,6.276408
0.010000,0.042694,8.999838,0.045572,0.464237,2.431563,-5.225309,6.275572
0.010000,0.047585,8.999799,0.050463,0.489083,2.484556,5.299376,6.274690
0.010000,0.052736,8.999753,0.055614,0.515124,2.604136,11.957938,6.273759
0.010000,0.058157,8.999699,0.061035,0.542126,2.700228,9.609263,6.272776
0.010000,0.063844,8.999637,0.066723,0.568772,2.664591,-3.563731,6.271742
0.010000,0.069810,8.999565,0.072690,0.596685,2.791234,12.664252,6.270654
0.010000,0.076066,8.999483,0.078946,0.625585,2.890003,9.876913,6.269510
0.010000,0.082605,8.999390,0.085485,0.653957,2.837203,-5.279921,6.268311
0.010000,0.089448,8.999284,0.092330,0.684441,3.048478,21.127428,6.267051
0.010000,0.096591,8.999164,0.099473,0.714390,2.994875,-5.360257,6.265732
0.010000,0.104044,8.999028,0.106927,0.745387,3.099700,10.482499,6.264351
0.010000,0.111814,8.998876,0.114699,0.777203,3.181557,8.185718,6.262905
0.010000,0.119903,8.998706,0.122790,0.809065,3.186218,0.466059,6.261394
0.010000,0.128324,8.998516,0.131213,0.842311,3.324626,13.840807,6.259815
0.010000,0.137076,8.998304,0.139967,0.875399,3.308796,-1.582958,6.258167
0.010000,0.146169,8.998069,0.149063,0.909623,3.422382,11.358556,6.256446
0.010000,0.155608,8.997808,0.158506,0.944304,3.468074,4.569240,6.254652
0.010000,0.165394,8.997520,0.168297,0.979036,3.473233,0.515849,6.252783
0.010000,0.175546,8.997201,0.178454,1.015682,3.664556,19.132283,6.250835
0.010000,0.186055,8.996850,0.188968,1.051426,3.574429,-9.012683,6.248807
0.010000,0.196932,8.996465,0.199852,1.088437,3.701160,12.673062,6.246697
0.010000,0.208188,8.996041,0.211116,1.126428,3.799056,9.789629,6.244502
0.010000,0.219820,8.995578,0.222757,1.164105,3.767734,-3.132166,6.242220
0.010000,0.231834,8.995071,0.234782,1.202442,3.833631,6.589650,6.239849
0.010000,0.244244,8.994518,0.247204,1.242218,3.977626,14.399559,6.237384
0.010000,0.257049,8.993915,0.260023,1.281923,3.970496,-0.713062,6.234825
0.010000,0.270253,8.993258,0.273243,1.321997,4.007409,3.691341,6.232169
0.010000,0.283860,8.992544,0.286870,1.362660,4.066260,5.885049,6.229412
0.010000,0.297878,8.991770,0.300909,1.403891,4.123149,5.688910,6.226553
0.010000,0.312310,8.990930,0.315365,1.445671,4.177983,5.483420,6.223587
0.010000,0.327162,8.990021,0.330245,1.487978,4.230670,5.268683,6.220512
0.010000,0.342439,8.989038,0.345553,1.530789,4.281118,5.044844,6.217324
0.010000,0.358143,8.987976,0.361294,1.574081,4.329239,4.812090,6.214020
0.010000,0.374281,8.986830,0.377472,1.617831,4.374946,4.570657,6.210598
0.010000,0.390855,8.985596,0.394092,1.662012,4.418154,4.320831,6.207053
0.010000,0.407870,8.984266,0.411158,1.706600,4.458783,4.062954,6.203381
0.010000,0.425327,8.982837,0.428674,1.751568,4.496758,3.797425,6.199580
0.010000,0.443230,8.981301,0.446643,1.796888,4.532005,3.524711,6.195646
0.010000,0.461581,8.979653,0.465068,1.842532,4.564458,3.245343,6.191574
