dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000999,1.000000,0.000004,0.000800,0.080000,8.000000,6.282187
0.010000,0.000998,1.000000,0.000005,0.000080,-0.072016,-15.201597,6.282187
0.010000,0.000996,1.000000,0.000007,0.000180,0.009980,8.199605,6.282189
0.010000,0.000993,1.000000,0.000010,0.000319,0.013972,0.399216,6.282192
0.010000,0.000988,1.000000,0.000015,0.000499,0.017965,0.399236,6.282197
0.010000,0.000981,1.000000,0.000022,0.000719,0.021957,0.399269,6.282204
0.010000,0.000971,1.000000,0.000032,0.000978,0.025950,0.399318,6.282214
0.010000,0.000958,1.000000,0.000045,0.001278,0.029944,0.399386,6.282227
0.010000,0.000942,1.000000,0.000061,0.001617,0.033939,0.399476,6.282243
0.010000,0.000922,1.000000,0.000081,0.001996,0.037935,0.399592,6.282263
0.010000,0.000898,1.000000,0.000105,0.002416,0.041932,0.399737,6.282287
0.010000,0.000869,1.000000,0.000134,0.002875,0.045932,0.399913,6.282316
0.010000,0.000836,1.000000,0.000167,0.003374,0.049933,0.400125,6.282350
0.010000,0.000796,1.000000,0.000206,0.003914,0.053937,0.400375,6.282389
0.010000,0.000751,1.000000,0.000251,0.004493,0.057943,0.400667,6.282434
0.010000,0.000700,1.000000,0.000302,0.005113,0.061953,0.401004,6.282485
0.010000,0.000643,1.000000,0.000360,0.005772,0.065967,0.401388,6.282543
0.010000,0.000578,1.000000,0.000425,0.006472,0.069985,0.401824,6.282607
0.010000,0.000506,1.000000,0.000497,0.007212,0.074008,0.402315,6.282680
0.010000,0.000426,1.000000,0.000577,0.007993,0.078037,0.402863,6.282759
0.010000,0.000338,1.000000,0.000665,0.008813,0.082072,0.403472,6.282848
0.010000,0.000241,1.000000,0.000762,0.009674,0.086113,0.404146,6.282944
0.010000,0.000135,1.000000,0.000868,0.010576,0.090162,0.404887,6.283050
0.010000,0.000020,1.000000,0.000983,0.011518,0.094219,0.405700,6.283165
0.010000,0.001996,1.000000,0.002959,0.197588,18.606944,1851.272466,0.000105
0.010000,0.004565,1.000001,0.005528,0.256957,5.936940,-1267.000352,0.000240
0.010000,0.007336,1.000001,0.008299,0.277058,2.010094,-392.684658,0.000386
0.010000,0.010315,1.000003,0.011278,0.297909,2.085064,7.496991,0.000543
0.010000,0.013510,1.000005,0.014473,0.319508,2.159901,7.483690,0.000712
0.010000,0.016929,1.000008,0.017892,0.341854,2.234595,7.469410,0.000892
0.010000,0.020580,1.000011,0.021543,0.365104,2.325035,9.044001,0.001085
0.010000,0.024471,1.000016,0.025434,0.389169,2.406504,8.146898,0.001291
0.010000,0.028609,1.000022,0.029572,0.413771,2.460165,5.366166,0.001509
0.010000,0.033000,1.000029,0.033963,0.439113,2.534256,7.409021,0.001742
0.010000,0.037652,1.000037,0.038615,0.465195,2.608148,7.389293,0.001988
0.010000,0.042577,1.000048,0.043540,0.492475,2.728012,11.986342,0.002249
0.010000,0.047778,1.000060,0.048741,0.520086,2.761074,3.306238,0.002525
0.010000,0.053262,1.000075,0.054225,0.548399,2.831334,7.025984,0.002816
0.010000,0.059038,1.000092,0.060001,0.577656,2.925747,9.441275,0.003123
0.010000,0.065116,1.000112,0.066079,0.607822,3.016548,9.080162,0.003446
0.010000,0.071500,1.000135,0.072463,0.638349,3.052721,3.617291,0.003786
0.010000,0.078198,1.000162,0.079161,0.669837,3.148749,9.602718,0.004143
0.010000,0.085221,1.000192,0.086184,0.702271,3.243452,9.470332,0.004517
0.010000,0.092571,1.000227,0.093534,0.734990,3.271932,2.847992,0.004910
0.010000,0.100260,1.000266,0.101224,0.768977,3.398661,12.672931,0.005321
0.010000,0.108294,1.000310,0.109257,0.803370,3.439343,4.068156,0.005751
0.010000,0.116679,1.000361,0.117643,0.838563,3.519293,7.995066,0.006201
0.010000,0.125426,1.000417,0.126390,0.874719,3.615593,9.629972,0.006671
0.010000,0.134539,1.000480,0.135503,0.911252,3.653285,3.769179,0.007161
0.010000,0.144029,1.000550,0.144993,0.949014,3.776202,12.291693,0.007672
0.010000,0.153899,1.000629,0.154863,0.987025,3.801101,2.489893,0.008205
0.010000,0.164161,1.000716,0.165125,1.026229,3.920418,11.931727,0.008760
0.010000,0.174819,1.000812,0.175784,1.065861,3.963191,4.277280,0.009337
0.010000,0.185882,1.000919,0.186847,1.106336,4.047494,8.430301,0.009937
0.010000,0.197358,1.001036,0.198325,1.147736,4.139988,9.249472,0.010561
0.010000,0.209252,1.001166,0.210219,1.189461,4.172512,3.252397,0.011208
0.010000,0.221576,1.001308,0.222544,1.232464,4.300256,12.774368,0.011881
0.010000,0.234334,1.001464,0.235303,1.275886,4.342194,4.193758,0.012578
0.010000,0.247532,1.001635,0.248502,1.319936,4.405032,6.283817,0.013302
0.010000,0.261181,1.001822,0.262153,1.365036,4.509992,10.495973,0.014051
0.010000,0.275288,1.002025,0.276261,1.410841,4.580493,7.050120,0.014828
0.010000,0.289858,1.002247,0.290833,1.457182,4.634120,5.362674,0.015632
0.010000,0.304899,1.002489,0.305876,1.504294,4.711248,7.712799,0.016465
0.010000,0.320419,1.002751,0.321397,1.552174,4.787948,7.670063,0.017326
0.010000,0.336426,1.003035,0.337408,1.601017,4.884263,9.631439,0.018216
0.010000,0.352928,1.003344,0.353912,1.650425,4.940805,5.654290,0.019137
0.010000,0.369930,1.003677,0.370917,1.700525,5.009990,6.918406,0.020088
0.010000,0.387440,1.004037,0.388431,1.751371,5.084635,7.464521,0.021070
0.010000,0.405465,1.004426,0.406460,1.802958,5.158716,7.408109,0.022085
0.010000,0.424013,1.004846,0.425013,1.855280,5.232204,7.348797,0.023132
0.010000,0.443091,1.005298,0.444097,1.908331,5.305069,7.286539,0.024212
0.010000,0.462706,1.005784,0.463718,1.962104,5.377282,7.221288,0.025327
0.010000,0.482865,1.006306,0.483883,2.016592,5.448812,7.152999,0.026477
0.010000,0.503576,1.006867,0.504601,2.071788,5.519628,7.081628,0.027662
0.010000,0.524846,1.007468,0.525880,2.127833,5.604475,8.484637,0.028884
0.010000,0.546682,1.008113,0.547726,2.184621,5.678796,7.432128,0.030143
0.010000,0.569091,1.008803,0.570145,2.241955,5.733394,5.459851,0.031440
0.010000,0.592079,1.009541,0.593145,2.299966,5.801099,6.770452,0.032775
0.010000,0.615653,1.010330,0.616732,2.358710,5.874404,7.330521,0.034151
0.010000,0.639824,1.011173,0.640918,2.418573,5.986314,11.190938,0.035567
0.010000,0.664594,1.012073,0.665704,2.478623,6.004978,1.866407,0.037025
0.010000,0.689971,1.013032,0.691099,2.539518,6.089513,8.453555,0.038524
0.010000,0.715965,1.014054,0.717113,2.601413,6.189541,10.002753,0.040068
0.010000,0.742577,1.015142,0.743748,2.663438,6.202443,1.290216,0.041655
0.010000,0.769822,1.016300,0.771017,2.726941,6.350316,14.787281,0.043288
0.010000,0.797698,1.017530,0.798920,2.790324,6.338284,-1.203159,0.044967
0.010000,0.826219,1.018838,0.827472,2.855123,6.479966,14.168159,0.046693
0.010000,0.855387,1.020227,0.856673,2.920095,6.497220,1.725431,0.048468
0.010000,0.885209,1.021701,0.886531,2.985872,6.577662,8.044233,0.050292
0.010000,0.915696,1.023264,0.917058,3.052666,6.679387,10.172418,0.052167
0.010000,0.946849,1.024921,0.948255,3.119741,6.707513,2.812622,0.054093
0.010000,0.978677,1.026676,0.980131,3.187555,6.781385,7.387263,0.056073
0.010000,1.011185,1.028534,1.012692,3.256141,6.858658,7.727234,0.058106
0.010000,1.044383,1.030500,1.045948,3.325582,6.944053,8.539518,0.060196
0.010000,1.078274,1.032579,1.079903,3.395460,6.987787,4.373459,0.062342
