dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000004,0.000800,0.080000,8.000000,6.282187
0.010000,0.000000,0.000000,0.000020,0.002400,0.160000,8.000000,6.282187
0.010000,0.000000,0.000000,0.000056,0.004800,0.240000,8.000000,6.282189
0.010000,0.000000,0.000000,0.000120,0.008000,0.320000,8.000000,6.282192
0.010000,0.000000,0.000000,0.000220,0.012000,0.400000,8.000000,6.282197
0.010000,0.000000,0.000000,0.000364,0.016800,0.480000,8.000000,6.282204
0.010000,0.000000,0.000000,0.000560,0.022400,0.560000,8.000000,6.282214
0.010000,0.000000,0.000000,0.000816,0.028800,0.640000,8.000000,6.282227
0.010000,0.000000,0.000000,0.001140,0.036000,0.720000,8.000000,6.282243
0.010000,0.000000,0.000000,0.001540,0.044000,0.800000,8.000000,6.282263
0.010000,0.000000,0.000000,0.002024,0.052800,0.880000,8.000000,6.282287
0.010000,0.000000,0.000000,0.002600,0.062400,0.960000,8.000000,6.282316
0.010000,0.000000,0.000000,0.003276,0.072800,1.040000,8.000000,6.282350
0.010000,0.000000,0.000000,0.004060,0.084000,1.120000,8.000000,6.282389
0.010000,0.000000,0.000000,0.004960,0.096000,1.200000,8.000000,6.282434
0.010000,0.000000,0.000000,0.005984,0.108800,1.280000,8.000000,6.282485
0.010000,0.000000,0.000000,0.007140,0.122400,1.360000,8.000000,6.282543
0.010000,0.000000,0.000000,0.008436,0.136800,1.440000,8.000000,6.282607
0.010000,0.000000,0.000000,0.009880,0.152000,1.520000,8.000000,6.282680
0.010000,0.000000,0.000000,0.011480,0.168000,1.600000,8.000000,6.282759
0.010000,0.000000,0.000000,0.013244,0.184800,1.680000,8.000000,6.282848
0.010000,0.000000,0.000000,0.015180,0.202400,1.760000,8.000000,6.282944
0.010000,0.000000,0.000000,0.017296,0.220800,1.840000,8.000000,6.283050
0.010000,0.000000,0.000000,0.019600,0.240000,1.920000,8.000000,6.283165
0.010000,0.002101,0.000000,0.022100,0.260000,2.000000,8.000000,0.000105
0.010000,0.004806,0.000001,0.024804,0.280800,2.080000,8.000000,0.000240
0.010000,0.007722,0.000001,0.027720,0.302400,2.160000,8.000000,0.000386
0.010000,0.010858,0.000003,0.030856,0.324800,2.240000,8.000000,0.000543
0.010000,0.014222,0.000005,0.034220,0.348000,2.320000,8.000000,0.000712
0.010000,0.017821,0.000008,0.037820,0.372000,2.400000,8.000000,0.000892
0.010000,0.021665,0.000012,0.041664,0.396800,2.480000,8.000000,0.001085
0.010000,0.025762,0.000017,0.045760,0.422400,2.560000,8.000000,0.001291
0.010000,0.030118,0.000023,0.050116,0.448800,2.640000,8.000000,0.001509
0.010000,0.034742,0.000030,0.054740,0.476000,2.720000,8.000000,0.001742
0.010000,0.039640,0.000039,0.059640,0.504000,2.800000,8.000000,0.001988
0.010000,0.044826,0.000050,0.064824,0.532800,2.880000,8.000000,0.002249
0.010000,0.050302,0.000063,0.070300,0.562400,2.960000,8.000000,0.002525
0.010000,0.056077,0.000079,0.076076,0.592800,3.040000,8.000000,0.002816
0.010000,0.062161,0.000097,0.082160,0.624000,3.120000,8.000000,0.003123
0.010000,0.068562,0.000118,0.088560,0.656000,3.200000,8.000000,0.003446
0.010000,0.075286,0.000142,0.095284,0.688800,3.280000,8.000000,0.003786
0.010000,0.082341,0.000170,0.102340,0.722400,3.360000,8.000000,0.004143
0.010000,0.089738,0.000202,0.109736,0.756800,3.440000,8.000000,0.004517
0.010000,0.097481,0.000239,0.117480,0.792000,3.520000,8.000000,0.004910
0.010000,0.105582,0.000280,0.125580,0.828000,3.600000,8.000000,0.005321
0.010000,0.114045,0.000327,0.134044,0.864800,3.680000,8.000000,0.005751
0.010000,0.122881,0.000380,0.142880,0.902400,3.760000,8.000000,0.006201
0.010000,0.132097,0.000439,0.152096,0.940800,3.840000,8.000000,0.006671
0.010000,0.141700,0.000506,0.161700,0.980000,3.920000,8.000000,0.007161
0.010000,0.151701,0.000580,0.171700,1.020000,4.000000,8.000000,0.007672
0.010000,0.162103,0.000662,0.182104,1.060800,4.080000,8.000000,0.008205
0.010000,0.172920,0.000754,0.192920,1.102400,4.160000,8.000000,0.008760
0.010000,0.184155,0.000856,0.204156,1.144800,4.240000,8.000000,0.009337
0.010000,0.195818,0.000968,0.215820,1.188000,4.320000,8.000000,0.009937
0.010000,0.207919,0.001092,0.227920,1.232000,4.400000,8.000000,0.010561
0.010000,0.220460,0.001229,0.240464,1.276800,4.480000,8.000000,0.011208
0.010000,0.233456,0.001379,0.253460,1.322400,4.560000,8.000000,0.011881
0.010000,0.246912,0.001543,0.266916,1.368800,4.640000,8.000000,0.012578
0.010000,0.260833,0.001723,0.280840,1.416000,4.720000,8.000000,0.013302
0.010000,0.275232,0.001920,0.295240,1.464000,4.800000,8.000000,0.014051
0.010000,0.290116,0.002135,0.310124,1.512800,4.880000,8.000000,0.014828
0.010000,0.305490,0.002369,0.325500,1.562400,4.960000,8.000000,0.015632
0.010000,0.321363,0.002624,0.341376,1.612800,5.040000,8.000000,0.016465
0.010000,0.337744,0.002901,0.357760,1.664000,5.120000,8.000000,0.017326
0.010000,0.354642,0.003201,0.374660,1.716000,5.200000,8.000000,0.018216
0.010000,0.372063,0.003527,0.392084,1.768800,5.280000,8.000000,0.019137
0.010000,0.390016,0.003879,0.410040,1.822400,5.360000,8.000000,0.020088
