dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000999,-1.000000,0.000004,0.000800,0.080000,8.000000,6.282187
0.010000,-0.000998,-1.000000,0.000005,0.000080,-0.072016,-15.201597,6.282187
0.010000,-0.000996,-1.000000,0.000007,0.000180,0.009980,8.199605,6.282189
0.010000,-0.000993,-1.000000,0.000010,0.000319,0.013972,0.399216,6.282192
0.010000,-0.000988,-1.000000,0.000015,0.000499,0.017965,0.399236,6.282197
0.010000,-0.000981,-1.000000,0.000022,0.000719,0.021957,0.399269,6.282204
0.010000,-0.000971,-1.000000,0.000032,0.000978,0.025950,0.399318,6.282214
0.010000,-0.000958,-1.000000,0.000045,0.001278,0.029944,0.399386,6.282227
0.010000,-0.000942,-1.000000,0.000061,0.001617,0.033939,0.399476,6.282243
0.010000,-0.000922,-1.000000,0.000081,0.001996,0.037935,0.399592,6.282263
0.010000,-0.000898,-1.000000,0.000105,0.002416,0.041932,0.399737,6.282287
0.010000,-0.000869,-1.000000,0.000134,0.002875,0.045932,0.399913,6.282316
0.010000,-0.000836,-1.000000,0.000167,0.003374,0.049933,0.400125,6.282350
0.010000,-0.000796,-1.000000,0.000206,0.003914,0.053937,0.400375,6.282389
0.010000,-0.000751,-1.000000,0.000251,0.004493,0.057943,0.400667,6.282434
0.010000,-0.000700,-1.000000,0.000302,0.005113,0.061953,0.401004,6.282485
0.010000,-0.000643,-1.000000,0.000360,0.005772,0.065967,0.401388,6.282543
0.010000,-0.000578,-1.000000,0.000425,0.006472,0.069985,0.401824,6.282607
0.010000,-0.000506,-1.000000,0.000497,0.007212,0.074008,0.402315,6.282680
0.010000,-0.000426,-1.000000,0.000577,0.007993,0.078037,0.402863,6.282759
0.010000,-0.000338,-1.000000,0.000665,0.008813,0.082072,0.403472,6.282848
0.010000,-0.000241,-1.000000,0.000762,0.009674,0.086113,0.404146,6.282944
0.010000,-0.000135,-1.000000,0.000868,0.010576,0.090162,0.404887,6.283050
0.010000,-0.000020,-1.000000,0.000983,0.011518,0.094219,0.405700,6.283165
0.010000,0.002206,-1.000000,0.003209,0.222600,21.108207,2101.398739,0.000105
0.010000,0.005046,-0.999999,0.006049,0.284020,6.141964,-1496.624246,0.000240
0.010000,0.008109,-0.999998,0.009112,0.306251,2.223094,-391.887048,0.000386
0.010000,0.011402,-0.999997,0.012405,0.329313,2.306262,8.316861,0.000543
0.010000,0.014934,-0.999995,0.015937,0.353207,2.389322,8.305998,0.000712
0.010000,0.018713,-0.999992,0.019716,0.377929,2.472266,8.294338,0.000892
0.010000,0.022750,-0.999988,0.023753,0.403656,2.572662,10.039669,0.001085
0.010000,0.027053,-0.999983,0.028055,0.430288,2.663191,9.052918,0.001291
0.010000,0.031628,-0.999976,0.032631,0.457518,2.723025,5.983382,0.001509
0.010000,0.036484,-0.999968,0.037486,0.485573,2.805498,8.247270,0.001742
0.010000,0.041628,-0.999959,0.042631,0.514451,2.887810,8.231188,0.001988
0.010000,0.047075,-0.999947,0.048077,0.544661,3.021027,13.321668,0.002249
0.010000,0.052827,-0.999933,0.053830,0.575245,3.058314,3.728725,0.002525
0.010000,0.058893,-0.999917,0.059896,0.606613,3.136803,7.848914,0.002816
0.010000,0.065283,-0.999898,0.066286,0.639033,3.242084,10.528075,0.003123
0.010000,0.072008,-0.999876,0.073011,0.672468,3.343455,10.137088,0.003446
0.010000,0.079071,-0.999851,0.080074,0.706313,3.384467,4.101218,0.003786
0.010000,0.086483,-0.999821,0.087487,0.741231,3.491785,10.731823,0.004143
0.010000,0.094255,-0.999788,0.095259,0.777208,3.597739,10.595409,0.004517
0.010000,0.102391,-0.999749,0.103394,0.813513,3.630497,3.275784,0.004910
0.010000,0.110903,-0.999706,0.111906,0.851234,3.772097,14.159990,0.005321
0.010000,0.119797,-0.999656,0.120800,0.889419,3.818561,4.646443,0.005751
0.010000,0.129082,-0.999601,0.130085,0.928506,3.908602,9.004033,0.006201
0.010000,0.138768,-0.999539,0.139772,0.968674,4.016868,10.826668,0.006671
0.010000,0.148861,-0.999469,0.149865,1.009278,4.060354,4.348605,0.007161
0.010000,0.159373,-0.999391,0.160377,1.051261,4.198359,13.800464,0.007672
0.010000,0.170308,-0.999304,0.171313,1.093541,4.227927,2.956854,0.008205
0.010000,0.181679,-0.999208,0.182684,1.137163,4.362235,13.430729,0.008760
0.010000,0.193492,-0.999101,0.194497,1.181282,4.411882,4.964770,0.009337
0.010000,0.205755,-0.998983,0.206761,1.226359,4.507700,9.581718,0.009937
0.010000,0.218479,-0.998852,0.219486,1.272486,4.612769,10.506907,0.010561
0.010000,0.231668,-0.998709,0.232676,1.319002,4.651513,3.874464,0.011208
0.010000,0.245337,-0.998551,0.246345,1.366962,4.796018,14.450509,0.011881
0.010000,0.259490,-0.998378,0.260500,1.415417,4.845556,4.953756,0.012578
0.010000,0.274135,-0.998188,0.275146,1.464602,4.918449,7.289271,0.013302
0.010000,0.289283,-0.997981,0.290295,1.514985,5.038283,11.983450,0.014051
0.010000,0.304943,-0.997755,0.305957,1.566186,5.120100,8.181689,0.014828
0.010000,0.321122,-0.997508,0.322137,1.618020,5.183391,6.329142,0.015632
0.010000,0.337827,-0.997240,0.338845,1.670749,5.272992,8.960006,0.016465
0.010000,0.355068,-0.996949,0.356089,1.724373,5.362355,8.936376,0.017326
0.010000,0.372857,-0.996633,0.373880,1.779111,5.473766,11.141041,0.018216
0.010000,0.391199,-0.996290,0.392225,1.834523,5.541245,6.747949,0.019137
0.010000,0.410103,-0.995919,0.411133,1.890753,5.623027,8.178134,0.020088
0.010000,0.429577,-0.995519,0.430611,1.947865,5.711153,8.812667,0.021070
0.010000,0.449631,-0.995086,0.450670,2.005854,5.798941,8.778787,0.022085
0.010000,0.470273,-0.994619,0.471317,2.064718,5.886369,8.742763,0.023132
0.010000,0.491511,-0.994116,0.492561,2.124452,5.973414,8.704568,0.024212
0.010000,0.513355,-0.993575,0.514412,2.185053,6.060056,8.664181,0.025327
0.010000,0.535813,-0.992993,0.536877,2.246515,6.146272,8.621580,0.026477
0.010000,0.558893,-0.992368,0.559965,2.308836,6.232039,8.576745,0.027662
0.010000,0.582605,-0.991698,0.583687,2.372174,6.333811,10.177139,0.028884
0.010000,0.606959,-0.990979,0.608051,2.436416,6.424240,9.042932,0.030143
0.010000,0.631960,-0.990209,0.633065,2.501347,6.493057,6.881655,0.031440
0.010000,0.657618,-0.989385,0.658736,2.567116,6.576880,8.382374,0.032775
0.010000,0.683941,-0.988503,0.685074,2.633789,6.667374,9.049344,0.034151
0.010000,0.710943,-0.987562,0.712092,2.701804,6.801444,13.406958,0.035567
0.010000,0.738626,-0.986557,0.739793,2.770122,6.831816,3.037202,0.037025
0.010000,0.767000,-0.985484,0.768188,2.839484,6.936224,10.440864,0.038524
0.010000,0.796079,-0.984341,0.797289,2.910069,7.058487,12.226239,0.040068
0.010000,0.825863,-0.983123,0.827098,2.980907,7.083790,2.530338,0.041655
0.010000,0.856371,-0.981827,0.857633,3.053514,7.260668,17.687804,0.043288
0.010000,0.887601,-0.980448,0.888894,3.126105,7.259082,-0.158555,0.044967
0.010000,0.919572,-0.978982,0.920898,3.200407,7.430224,17.114176,0.046693
0.010000,0.952285,-0.977424,0.953648,3.275032,7.462546,3.232148,0.048468
0.010000,0.985751,-0.975770,0.987155,3.350695,7.566283,10.373722,0.050292
0.010000,1.019982,-0.974015,1.021432,3.427641,7.694592,12.830910,0.052167
0.010000,1.054983,-0.972154,1.056482,3.505050,7.740943,4.635057,0.054093
0.010000,1.090764,-0.970181,1.092317,3.583444,7.839318,9.837554,0.056073
