dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,53.382205,127.766823,0.000003,0.000599,0.059865,5.986491,6.266144
0.010000,53.382205,127.766823,0.000004,0.000057,-0.054194,-11.405841,6.266144
0.010000,53.382203,127.766823,0.000005,0.000128,0.007089,6.128274,6.266144
0.010000,53.382201,127.766823,0.000007,0.000227,0.009925,0.283565,6.266144
0.010000,53.382197,127.766823,0.000011,0.000354,0.012760,0.283558,6.266144
0.010000,53.382192,127.766823,0.000016,0.000510,0.015596,0.283547,6.266145
0.010000,53.382185,127.766823,0.000023,0.000695,0.018431,0.283530,6.266145
0.010000,53.382176,127.766823,0.000032,0.000907,0.021266,0.283507,6.266146
0.010000,53.382165,127.766824,0.000043,0.001148,0.024101,0.283476,6.266147
0.010000,53.382151,127.766824,0.000057,0.001418,0.026935,0.283437,6.266148
0.010000,53.382134,127.766824,0.000075,0.001715,0.029769,0.283388,6.266149
0.010000,53.382113,127.766824,0.000095,0.002041,0.032603,0.283328,6.266151
0.010000,53.382089,127.766825,0.000119,0.002396,0.035435,0.283255,6.266153
0.010000,53.382061,127.766825,0.000147,0.002778,0.038267,0.283170,6.266155
0.010000,53.382029,127.766826,0.000179,0.003189,0.041098,0.283071,6.266158
0.010000,53.381993,127.766826,0.000215,0.003629,0.043927,0.282957,6.266160
0.010000,53.381952,127.766827,0.000256,0.004096,0.046755,0.282826,6.266164
0.010000,53.381906,127.766828,0.000302,0.004592,0.049582,0.282677,6.266167
0.010000,53.381855,127.766829,0.000353,0.005116,0.052407,0.282511,6.266171
0.010000,53.381798,127.766830,0.000410,0.005668,0.055231,0.282324,6.266176
0.010000,53.381736,127.766831,0.000472,0.006249,0.058052,0.282117,6.266181
0.010000,53.381667,127.766832,0.000541,0.006858,0.060871,0.281889,6.266187
0.010000,53.381593,127.766833,0.000616,0.007495,0.063687,0.281637,6.266193
0.010000,53.381511,127.766835,0.000697,0.008160,0.066501,0.281362,6.266199
0.010000,53.381422,127.766836,0.000786,0.008853,0.069311,0.281061,6.266206
0.010000,53.381327,127.766838,0.000882,0.009574,0.072119,0.280734,6.266214
0.010000,53.381223,127.766840,0.000985,0.010323,0.074922,0.280381,6.266222
0.010000,53.381112,127.766841,0.001096,0.011100,0.077722,0.279999,6.266231
0.010000,53.380993,127.766843,0.001215,0.011906,0.080518,0.279587,6.266240
0.010000,53.380866,127.766846,0.001342,0.012739,0.083310,0.279145,6.266251
0.010000,53.380730,127.766848,0.001478,0.013600,0.086096,0.278672,6.266262
0.010000,53.380585,127.766850,0.001623,0.014488,0.088878,0.278166,6.266273
0.010000,53.380431,127.766853,0.001777,0.015405,0.091654,0.277626,6.266285
0.010000,53.380268,127.766856,0.001941,0.016349,0.094425,0.277052,6.266299
0.010000,53.380095,127.766859,0.002114,0.017321,0.097189,0.276441,6.266312
0.010000,53.379911,127.766862,0.002297,0.018321,0.099947,0.275794,6.266327
0.010000,53.379718,127.766865,0.002491,0.019347,0.102698,0.275109,6.266343
0.010000,53.379514,127.766868,0.002695,0.020402,0.105442,0.274384,6.266359
0.010000,53.379299,127.766872,0.002909,0.021484,0.108178,0.273620,6.266376
0.010000,53.379073,127.766876,0.003135,0.022593,0.110906,0.272814,6.266394
0.010000,53.378836,127.766880,0.003373,0.023729,0.113626,0.271966,6.266413
0.010000,53.378587,127.766884,0.003622,0.024892,0.116337,0.271074,6.266433
0.010000,53.378326,127.766888,0.003882,0.026083,0.119038,0.270138,6.266454
0.010000,53.378053,127.766893,0.004155,0.027300,0.121730,0.269156,6.266476
0.010000,53.377768,127.766898,0.004441,0.028544,0.124411,0.268127,6.266499
0.010000,53.378052,127.766893,0.004725,0.028425,-0.011904,-13.631519,6.266522
0.010000,53.384352,127.766788,0.011026,0.630072,60.164718,6017.662169,6.266547
0.010000,53.390923,127.766679,0.017598,0.657187,2.711470,-5745.324748,6.266573
0.010000,53.397771,127.766565,0.024446,0.684874,2.768746,5.727562,6.266600
0.010000,53.404901,127.766447,0.031578,0.713135,2.826037,5.729176,6.266628
0.010000,53.412320,127.766324,0.038997,0.741968,2.883346,5.730856,6.266658
0.010000,53.420032,127.766197,0.046711,0.771375,2.940672,5.732605,6.266688
0.010000,53.428045,127.766065,0.054725,0.801355,2.998016,5.734423,6.266720
0.010000,53.436363,127.765928,0.063044,0.831909,3.055379,5.736312,6.266752
0.010000,53.444992,127.765786,0.071674,0.863037,3.112762,5.738273,6.266786
0.010000,53.453938,127.765640,0.080622,0.894738,3.170165,5.740308,6.266821
0.010000,53.463207,127.765488,0.089892,0.927014,3.227589,5.742417,6.266858
0.010000,53.472805,127.765332,0.099490,0.959862,3.284819,5.722970,6.266896
0.010000,53.482735,127.765170,0.109422,0.993210,3.334779,4.995996,6.266934
0.010000,53.493006,127.765003,0.119694,1.027207,3.399724,6.494486,6.266975
0.010000,53.503622,127.764831,0.130312,1.061780,3.457235,5.751161,6.267016
0.010000,53.514590,127.764654,0.141282,1.096927,3.514772,5.753662,6.267059
0.010000,53.525915,127.764472,0.152608,1.132651,3.572335,5.756246,6.267104
0.010000,53.537603,127.764284,0.164298,1.168950,3.629924,5.758913,6.267149
0.010000,53.549660,127.764091,0.176356,1.205825,3.687540,5.761664,6.267196
0.010000,53.562091,127.763893,0.188789,1.243277,3.745185,5.764502,6.267245
0.010000,53.574902,127.763689,0.201601,1.281248,3.797055,5.186996,6.267295
0.010000,53.588099,127.763479,0.214799,1.319806,3.855865,5.880923,6.267346
0.010000,53.601687,127.763265,0.228389,1.358986,3.917987,6.212251,6.267399
0.010000,53.615672,127.763044,0.242376,1.398744,3.975750,5.776273,6.267453
0.010000,53.630061,127.762818,0.256767,1.439079,4.033545,5.779559,6.267509
0.010000,53.644860,127.762587,0.271567,1.479993,4.091375,5.782938,6.267567
0.010000,53.660073,127.762349,0.286782,1.521485,4.149239,5.786412,6.267626
0.010000,53.675705,127.762107,0.302417,1.563454,4.196855,4.761624,6.267686
0.010000,53.691764,127.761858,0.318477,1.606080,4.262637,6.578142,6.267748
0.010000,53.708255,127.761604,0.334970,1.649307,4.322706,6.006947,6.267812
0.010000,53.725184,127.761344,0.351902,1.693115,4.380714,5.800810,6.267877
0.010000,53.742557,127.761079,0.369277,1.737502,4.438762,5.804774,6.267944
0.010000,53.760380,127.760808,0.387101,1.782451,4.494877,5.611487,6.268012
0.010000,53.778656,127.760531,0.405380,1.827876,4.542544,4.766765,6.268083
0.010000,53.797394,127.760249,0.424120,1.874004,4.612788,7.024396,6.268155
0.010000,53.816599,127.759961,0.443327,1.920714,4.671000,5.821189,6.268228
0.010000,53.836277,127.759667,0.463007,1.968007,4.729257,5.825671,6.268303
0.010000,53.856434,127.759368,0.483166,2.015856,4.784919,5.566190,6.268380
0.010000,53.877073,127.759063,0.503807,2.064180,4.832356,4.743710,6.268459
0.010000,53.898203,127.758753,0.524940,2.113219,4.903921,7.156465,6.268539
0.010000,53.919829,127.758437,0.546568,2.162842,4.962363,5.844212,6.268622
0.010000,53.941957,127.758116,0.568699,2.213051,5.020855,5.849240,6.268706
0.010000,53.964592,127.757789,0.591336,2.263718,5.066677,4.582169,6.268791
0.010000,53.987740,127.757457,0.614486,2.315044,5.132643,6.596618,6.268879
0.010000,54.011408,127.757119,0.638156,2.367007,5.196238,6.359477,6.268968
0.010000,54.035601,127.756776,0.662352,2.419556,5.254938,5.870014,6.269060
0.010000,54.060324,127.756428,0.687077,2.472563,5.300674,4.573646,6.269153
0.010000,54.085584,127.756075,0.712340,2.526222,5.365901,6.522678,6.269247
0.010000,54.111387,127.755717,0.738145,2.580531,5.430955,6.505374,6.269344
0.010000,54.137739,127.755353,0.764499,2.635430,5.489881,5.892645,6.269443
0.010000,54.164643,127.754985,0.791407,2.690720,5.528947,3.906538,6.269543
0.010000,54.192108,127.754611,0.818874,2.746786,5.606606,7.765903,6.269645
0.010000,54.220140,127.754233,0.846909,2.803451,5.666589,5.998359,6.269750
0.010000,54.248744,127.753850,0.875515,2.860597,5.714588,4.799901,6.269856
0.010000,54.277925,127.753463,0.904698,2.918335,5.773727,5.913849,6.269964
0.010000,54.307690,127.753071,0.934466,2.976773,5.843851,7.012410,6.270074
0.010000,54.338045,127.752675,0.964823,3.035741,5.896757,5.290585,6.270186
0.010000,54.368994,127.752274,0.995775,3.095195,5.945435,4.867796,6.270299
0.010000,54.400545,127.751869,1.027329,3.155412,6.021700,7.626494,6.270415
0.010000,54.432705,127.751461,1.059491,3.216166,6.075425,5.372570,6.270533
0.010000,54.465476,127.751048,1.092265,3.277385,6.121824,4.639905,6.270652
0.010000,54.498867,127.750631,1.125659,3.339386,6.200170,7.834537,6.270774
0.010000,54.532883,127.750211,1.159678,3.401892,6.250571,5.040090,6.270898
0.010000,54.567530,127.749788,1.194327,3.464922,6.302989,5.241814,6.271023
0.010000,54.602815,127.749361,1.229614,3.528715,6.379296,7.630721,6.271150
0.010000,54.638741,127.748931,1.265543,3.592937,6.422172,4.287643,6.271280
0.010000,54.675317,127.748498,1.302122,3.657827,6.489019,6.684638,6.271411
0.010000,54.712549,127.748062,1.339356,3.723410,6.558337,6.931770,6.271545
0.010000,54.750439,127.747623,1.377249,3.789328,6.591768,3.343145,6.271680
0.010000,54.788998,127.747182,1.415810,3.856120,6.679226,8.745806,6.271817
0.010000,54.828229,127.746739,1.455044,3.923359,6.723902,4.467624,6.271956
0.010000,54.868139,127.746294,1.494956,3.991221,6.786193,6.229057,6.272098
0.010000,54.908734,127.745846,1.535554,4.059779,6.855796,6.960362,6.272241
0.010000,54.950019,127.745398,1.576841,4.128727,6.894846,3.904902,6.272386
0.010000,54.992002,127.744947,1.618827,4.198540,6.981231,8.638574,6.272533
0.010000,55.034687,127.744496,1.661513,4.268693,7.015321,3.408941,6.272682
0.010000,55.078081,127.744043,1.704910,4.339672,7.097874,8.255359,6.272833
