dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,53.169193,115.268638,0.000003,0.000599,0.059865,5.986491,6.266144
0.010000,53.169193,115.268638,0.000015,0.001796,0.119730,5.986491,6.266144
0.010000,53.169193,115.268638,0.000042,0.003592,0.179595,5.986491,6.266144
0.010000,53.169193,115.268638,0.000090,0.005986,0.239460,5.986491,6.266144
0.010000,53.169193,115.268638,0.000165,0.008980,0.299325,5.986491,6.266144
0.010000,53.169193,115.268638,0.000272,0.012572,0.359189,5.986491,6.266145
0.010000,53.169193,115.268638,0.000419,0.016762,0.419054,5.986491,6.266145
0.010000,53.169193,115.268638,0.000611,0.021551,0.478919,5.986491,6.266146
0.010000,53.169193,115.268638,0.000853,0.026939,0.538784,5.986491,6.266147
0.010000,53.169193,115.268638,0.001152,0.032926,0.598649,5.986491,6.266148
0.010000,53.169193,115.268638,0.001515,0.039511,0.658514,5.986491,6.266149
0.010000,53.169193,115.268638,0.001946,0.046695,0.718379,5.986491,6.266151
0.010000,53.169193,115.268638,0.002451,0.054477,0.778244,5.986491,6.266153
0.010000,53.169193,115.268638,0.003038,0.062858,0.838109,5.986491,6.266155
0.010000,53.169193,115.268638,0.003712,0.071838,0.897974,5.986491,6.266158
0.010000,53.169193,115.268638,0.004478,0.081416,0.957839,5.986491,6.266160
0.010000,53.169193,115.268638,0.005343,0.091593,1.017703,5.986491,6.266164
0.010000,53.169193,115.268638,0.006313,0.102369,1.077568,5.986491,6.266167
0.010000,53.169193,115.268638,0.007393,0.113743,1.137433,5.986491,6.266171
0.010000,53.169193,115.268638,0.008591,0.125716,1.197298,5.986491,6.266176
0.010000,53.169193,115.268638,0.009911,0.138288,1.257163,5.986491,6.266181
0.010000,53.169193,115.268638,0.011359,0.151458,1.317028,5.986491,6.266187
0.010000,53.169193,115.268638,0.012943,0.165227,1.376893,5.986491,6.266193
0.010000,53.169193,115.268638,0.014667,0.179595,1.436758,5.986491,6.266199
0.010000,53.169193,115.268638,0.016538,0.194561,1.496623,5.986491,6.266206
0.010000,53.169193,115.268638,0.018561,0.210126,1.556488,5.986491,6.266214
0.010000,53.169193,115.268638,0.020743,0.226289,1.616352,5.986491,6.266222
0.010000,53.169193,115.268638,0.023090,0.243052,1.676217,5.986491,6.266231
0.010000,53.169193,115.268638,0.025607,0.260412,1.736082,5.986491,6.266240
0.010000,53.169193,115.268638,0.028301,0.278372,1.795947,5.986491,6.266251
0.010000,53.169193,115.268638,0.031178,0.296930,1.855812,5.986491,6.266262
0.010000,53.169193,115.268638,0.034243,0.316087,1.915677,5.986491,6.266273
0.010000,53.169193,115.268638,0.037502,0.335842,1.975542,5.986491,6.266285
0.010000,53.169193,115.268638,0.040963,0.356196,2.035407,5.986491,6.266299
0.010000,53.169193,115.268638,0.044629,0.377149,2.095272,5.986491,6.266312
0.010000,53.169193,115.268638,0.048509,0.398700,2.155137,5.986491,6.266327
0.010000,53.169193,115.268638,0.052606,0.420850,2.215002,5.986491,6.266343
0.010000,53.169193,115.268638,0.056929,0.443599,2.274866,5.986491,6.266359
0.010000,53.169193,115.268638,0.061481,0.466946,2.334731,5.986491,6.266376
0.010000,53.169193,115.268638,0.066270,0.490892,2.394596,5.986491,6.266394
0.010000,53.169193,115.268638,0.071302,0.515437,2.454461,5.986491,6.266413
0.010000,53.169193,115.268638,0.076582,0.540580,2.514326,5.986491,6.266433
0.010000,53.169193,115.268638,0.082117,0.566322,2.574191,5.986491,6.266454
0.010000,53.169193,115.268638,0.087912,0.592663,2.634056,5.986491,6.266476
0.010000,53.169193,115.268638,0.093973,0.619602,2.693921,5.986491,6.266499
0.010000,53.169775,115.268628,0.100307,0.647140,2.753786,5.986491,6.266522
0.010000,53.176386,115.268518,0.106919,0.675276,2.813651,5.986491,6.266547
0.010000,53.183281,115.268404,0.113815,0.704011,2.873516,5.986491,6.266573
0.010000,53.190467,115.268284,0.121002,0.733345,2.933380,5.986491,6.266600
0.010000,53.197949,115.268160,0.128485,0.763278,2.993245,5.986491,6.266628
0.010000,53.205733,115.268031,0.136270,0.793809,3.053110,5.986491,6.266658
0.010000,53.213826,115.267898,0.144364,0.824938,3.112975,5.986491,6.266688
0.010000,53.222233,115.267759,0.152772,0.856667,3.172840,5.986491,6.266720
0.010000,53.230960,115.267616,0.161501,0.888994,3.232705,5.986491,6.266752
0.010000,53.240013,115.267467,0.170555,0.921920,3.292570,5.986491,6.266786
0.010000,53.249399,115.267313,0.179942,0.955444,3.352435,5.986491,6.266821
0.010000,53.259123,115.267154,0.189667,0.989567,3.412300,5.986491,6.266858
0.010000,53.269191,115.266990,0.199736,1.024289,3.472165,5.986491,6.266896
0.010000,53.279609,115.266821,0.210156,1.059609,3.532030,5.986491,6.266934
0.010000,53.290383,115.266646,0.220931,1.095528,3.591894,5.986491,6.266975
0.010000,53.301519,115.266465,0.232069,1.132045,3.651759,5.986491,6.267016
0.010000,53.313024,115.266280,0.243575,1.169162,3.711624,5.986491,6.267059
0.010000,53.324902,115.266088,0.255456,1.206877,3.771489,5.986491,6.267104
0.010000,53.337161,115.265891,0.267716,1.245190,3.831354,5.986491,6.267149
0.010000,53.349806,115.265689,0.280362,1.284102,3.891219,5.986491,6.267196
0.010000,53.362844,115.265481,0.293401,1.323613,3.951084,5.986491,6.267245
0.010000,53.376278,115.265267,0.306838,1.363723,4.010949,5.986491,6.267295
0.010000,53.390117,115.265047,0.320678,1.404431,4.070814,5.986491,6.267346
0.010000,53.404366,115.264822,0.334929,1.445738,4.130679,5.986491,6.267399
0.010000,53.419031,115.264591,0.349596,1.487643,4.190543,5.986491,6.267453
0.010000,53.434118,115.264354,0.364685,1.530147,4.250408,5.986491,6.267509
