dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,52.956181,102.770453,0.000003,0.000599,0.059865,5.986491,6.266144
0.010000,52.956181,102.770453,0.000004,0.000057,-0.054194,-11.405841,6.266144
0.010000,52.956182,102.770453,0.000005,0.000128,0.007089,6.128274,6.266144
0.010000,52.956185,102.770453,0.000007,0.000227,0.009925,0.283565,6.266144
0.010000,52.956188,102.770453,0.000011,0.000354,0.012760,0.283558,6.266144
0.010000,52.956193,102.770453,0.000016,0.000510,0.015596,0.283547,6.266145
0.010000,52.956200,102.770453,0.000023,0.000695,0.018431,0.283530,6.266145
0.010000,52.956209,102.770453,0.000032,0.000907,0.021266,0.283507,6.266146
0.010000,52.956221,102.770452,0.000043,0.001148,0.024101,0.283476,6.266147
0.010000,52.956235,102.770452,0.000057,0.001418,0.026935,0.283437,6.266148
0.010000,52.956252,102.770452,0.000075,0.001715,0.029769,0.283388,6.266149
0.010000,52.956273,102.770452,0.000095,0.002041,0.032603,0.283328,6.266151
0.010000,52.956297,102.770451,0.000119,0.002396,0.035435,0.283255,6.266153
0.010000,52.956324,102.770451,0.000147,0.002778,0.038267,0.283170,6.266155
0.010000,52.956356,102.770450,0.000179,0.003189,0.041098,0.283071,6.266158
0.010000,52.956392,102.770449,0.000215,0.003629,0.043927,0.282957,6.266160
0.010000,52.956433,102.770449,0.000256,0.004096,0.046755,0.282826,6.266164
0.010000,52.956479,102.770448,0.000302,0.004592,0.049582,0.282677,6.266167
0.010000,52.956530,102.770447,0.000353,0.005116,0.052407,0.282511,6.266171
0.010000,52.956587,102.770446,0.000410,0.005668,0.055231,0.282324,6.266176
0.010000,52.956650,102.770445,0.000472,0.006249,0.058052,0.282117,6.266181
0.010000,52.956718,102.770444,0.000541,0.006858,0.060871,0.281889,6.266187
0.010000,52.956793,102.770443,0.000616,0.007495,0.063687,0.281637,6.266193
0.010000,52.956875,102.770441,0.000697,0.008160,0.066501,0.281362,6.266199
0.010000,52.956963,102.770440,0.000786,0.008853,0.069311,0.281061,6.266206
0.010000,52.957059,102.770438,0.000882,0.009574,0.072119,0.280734,6.266214
0.010000,52.957162,102.770436,0.000985,0.010323,0.074922,0.280381,6.266222
0.010000,52.957273,102.770434,0.001096,0.011100,0.077722,0.279999,6.266231
0.010000,52.957392,102.770432,0.001215,0.011906,0.080518,0.279587,6.266240
0.010000,52.957520,102.770430,0.001342,0.012739,0.083310,0.279145,6.266251
0.010000,52.957656,102.770428,0.001478,0.013600,0.086096,0.278672,6.266262
0.010000,52.957800,102.770426,0.001623,0.014488,0.088878,0.278166,6.266273
0.010000,52.957954,102.770423,0.001777,0.015405,0.091654,0.277626,6.266285
0.010000,52.958118,102.770420,0.001941,0.016349,0.094425,0.277052,6.266299
0.010000,52.958291,102.770417,0.002114,0.017321,0.097189,0.276441,6.266312
0.010000,52.958474,102.770414,0.002297,0.018321,0.099947,0.275794,6.266327
0.010000,52.958668,102.770411,0.002491,0.019347,0.102698,0.275109,6.266343
0.010000,52.958872,102.770407,0.002695,0.020402,0.105442,0.274384,6.266359
0.010000,52.959087,102.770404,0.002909,0.021484,0.108178,0.273620,6.266376
0.010000,52.959312,102.770400,0.003135,0.022593,0.110906,0.272814,6.266394
0.010000,52.959550,102.770396,0.003373,0.023729,0.113626,0.271966,6.266413
0.010000,52.959799,102.770392,0.003622,0.024892,0.116337,0.271074,6.266433
0.010000,52.960059,102.770388,0.003882,0.026083,0.119038,0.270138,6.266454
0.010000,52.960332,102.770383,0.004155,0.027300,0.121730,0.269156,6.266476
0.010000,52.960618,102.770378,0.004441,0.028544,0.124411,0.268127,6.266499
0.010000,52.961498,102.770364,0.005321,0.088055,5.951073,582.666219,6.266522
0.010000,52.968420,102.770248,0.012244,0.692295,60.423972,5447.289856,6.266547
0.010000,52.975640,102.770128,0.019465,0.722057,2.976236,-5744.773565,6.266573
0.010000,52.983163,102.770003,0.026989,0.752445,3.038782,6.254593,6.266600
0.010000,52.990997,102.769874,0.034824,0.783458,3.101319,6.253651,6.266628
0.010000,52.999146,102.769739,0.042975,0.815096,3.163845,6.252670,6.266658
0.010000,53.007619,102.769599,0.051448,0.847360,3.226362,6.251649,6.266688
0.010000,53.016420,102.769454,0.060251,0.880249,3.288868,6.250586,6.266720
0.010000,53.025557,102.769303,0.069389,0.913762,3.351362,6.249482,6.266752
0.010000,53.035034,102.769148,0.078868,0.947901,3.413846,6.248335,6.266786
0.010000,53.044860,102.768987,0.088694,0.982664,3.476317,6.247144,6.266821
0.010000,53.055039,102.768820,0.098875,1.018052,3.538776,6.245909,6.266858
0.010000,53.065578,102.768649,0.109415,1.054062,3.600985,6.220875,6.266896
0.010000,53.076483,102.768471,0.120321,1.090613,3.655173,5.418828,6.266934
0.010000,53.087760,102.768288,0.131600,1.127871,3.725777,7.060387,6.266975
0.010000,53.099416,102.768099,0.143258,1.165753,3.788177,6.240010,6.267016
0.010000,53.111457,102.767905,0.155300,1.204259,3.850563,6.238540,6.267059
0.010000,53.123889,102.767705,0.167734,1.243388,3.912933,6.237021,6.267104
0.010000,53.136719,102.767499,0.180566,1.283141,3.975287,6.235451,6.267149
0.010000,53.149952,102.767287,0.193801,1.323517,4.037626,6.233830,6.267196
0.010000,53.163596,102.767069,0.207446,1.364516,4.099947,6.232157,6.267245
0.010000,53.177655,102.766845,0.221507,1.406075,4.155882,5.593477,6.267295
0.010000,53.192136,102.766615,0.235989,1.448269,4.219382,6.350045,6.267346
0.010000,53.207045,102.766380,0.250901,1.491134,4.286466,6.708303,6.267399
0.010000,53.222389,102.766138,0.266247,1.534621,4.348710,6.224435,6.267453
0.010000,53.238175,102.765890,0.282034,1.578730,4.410935,6.222489,6.267509
0.010000,53.254407,102.765636,0.298269,1.623462,4.473140,6.220486,6.267567
0.010000,53.271094,102.765376,0.314957,1.668815,4.535324,6.218424,6.267626
0.010000,53.288238,102.765109,0.332104,1.714677,4.586209,5.088536,6.267686
0.010000,53.305849,102.764837,0.349716,1.761246,4.656956,7.074713,6.267748
0.010000,53.323931,102.764558,0.367801,1.808460,4.721374,6.441717,6.267812
0.010000,53.342492,102.764274,0.386364,1.856295,4.783464,6.209091,6.267877
0.010000,53.361537,102.763983,0.405411,1.904750,4.845532,6.206725,6.267944
0.010000,53.381073,102.763686,0.424949,1.953804,4.905412,5.987983,6.268012
0.010000,53.401104,102.763382,0.444983,2.003364,4.955964,5.055257,6.268083
0.010000,53.421639,102.763073,0.465520,2.053676,5.031189,7.522507,6.268155
0.010000,53.442682,102.762757,0.486566,2.104607,5.093151,6.196133,6.268228
0.010000,53.464242,102.762436,0.508127,2.156158,5.155085,6.193440,6.268303
0.010000,53.486322,102.762108,0.530210,2.208299,5.214099,5.901418,6.268380
0.010000,53.508929,102.761774,0.552820,2.260939,5.264027,4.992777,6.268459
0.010000,53.532070,102.761434,0.575963,2.314342,5.340302,7.627475,6.268539
0.010000,53.555751,102.761088,0.599647,2.368364,5.402117,6.181498,6.268622
0.010000,53.579979,102.760736,0.623877,2.423003,5.463901,6.178455,6.268706
0.010000,53.604757,102.760379,0.648658,2.478120,5.511728,4.782735,6.268791
0.010000,53.630094,102.760015,0.673997,2.533935,5.581522,6.979377,6.268879
0.010000,53.655996,102.759646,0.699902,2.590421,5.648625,6.710270,6.268968
0.010000,53.682468,102.759271,0.726377,2.647524,5.710276,6.165066,6.269060
0.010000,53.709516,102.758890,0.753428,2.705101,5.757649,4.737349,6.269153
0.010000,53.737147,102.758503,0.781061,2.763363,5.826253,6.860341,6.269247
0.010000,53.765368,102.758111,0.809285,2.822309,5.894563,6.831026,6.269344
0.010000,53.794184,102.757714,0.838103,2.881869,5.956067,6.150450,6.269443
0.010000,53.823599,102.757311,0.867522,2.941827,5.995755,3.968805,6.269543
0.010000,53.853622,102.756903,0.897548,3.002602,6.077537,8.178178,6.269645
0.010000,53.884260,102.756490,0.928188,3.064001,6.139880,6.234315,6.269750
0.010000,53.915516,102.756071,0.959446,3.125891,6.189018,4.913743,6.269856
0.010000,53.947397,102.755648,0.991330,3.188394,6.250221,6.120334,6.269964
0.010000,53.979910,102.755220,1.023847,3.251627,6.323309,7.308788,6.270074
0.010000,54.013062,102.754787,1.057001,3.315401,6.377468,5.415954,6.270186
0.010000,54.046855,102.754350,1.090797,3.379670,6.426899,4.943004,6.270299
0.010000,54.081300,102.753908,1.125245,3.444734,6.506330,7.943175,6.270415
0.010000,54.116401,102.753462,1.160348,3.510344,6.561025,5.469517,6.270533
0.010000,54.152162,102.753011,1.196112,3.576420,6.607606,4.658029,6.270652
0.010000,54.188592,102.752557,1.232545,3.643309,6.688920,8.131462,6.270774
0.010000,54.225696,102.752099,1.269653,3.710705,6.739609,5.068901,6.270898
0.010000,54.263480,102.751637,1.307439,3.778629,6.792374,5.276478,6.271023
0.010000,54.301950,102.751171,1.345912,3.847340,6.871054,7.868022,6.271150
0.010000,54.341112,102.750702,1.385077,3.916471,6.913144,4.208966,6.271280
0.010000,54.380972,102.750231,1.424940,3.986283,6.981230,6.808628,6.271411
0.010000,54.421538,102.749756,1.465508,4.056802,7.051860,7.062951,6.271545
0.010000,54.462811,102.749278,1.506784,4.127634,7.083250,3.138978,6.271680
0.010000,54.504802,102.748798,1.548778,4.199368,7.173349,9.009955,6.271817
0.010000,54.547515,102.748315,1.591493,4.271535,7.216697,4.334825,6.271956
0.010000,54.590955,102.747830,1.634936,4.344326,7.279081,6.238349,6.272098
0.010000,54.635131,102.747344,1.679115,4.417818,7.349265,7.018397,6.272241
0.010000,54.680045,102.746855,1.724031,4.491679,7.386045,3.678036,6.272386
0.010000,54.725707,102.746366,1.769696,4.566420,7.474168,8.812312,6.272533
0.010000,54.772119,102.745875,1.816110,4.641473,7.505244,3.107550,6.272682
0.010000,54.819290,102.745383,1.863284,4.717361,7.588861,8.361726,6.272833
0.010000,54.867224,102.744890,1.911221,4.793677,7.631583,4.272188,6.272987
0.010000,54.915928,102.744397,1.959928,4.870685,7.700747,6.916358,6.273141
0.010000,54.965408,102.743904,2.009410,4.948238,7.755316,5.456988,6.273298
0.010000,55.015670,102.743411,2.059674,5.026385,7.814683,5.936707,6.273457
0.010000,55.066719,102.742919,2.110725,5.105149,7.876439,6.175527,6.273618
0.010000,55.118561,102.742427,2.162570,5.184456,7.930659,5.422056,6.273781
0.010000,55.171203,102.741936,2.215214,5.264405,7.994946,6.428634,6.273945
0.010000,55.224649,102.741447,2.268663,5.344892,8.048660,5.371416,6.274112
0.010000,55.278907,102.740959,2.322923,5.426000,8.110834,6.217405,6.274280
0.010000,55.333982,102.740473,2.378000,5.507687,8.168669,5.783531,6.274451
0.010000,55.389879,102.739990,2.433899,5.589928,8.224101,5.543207,6.274623
0.010000,55.446605,102.739509,2.490627,5.672835,8.290670,6.656872,6.274797
0.010000,55.504165,102.739031,2.548189,5.756182,8.334747,4.407678,6.274973
0.010000,55.562567,102.738557,2.606592,5.840328,8.414643,7.989640,6.275151
0.010000,55.621812,102.738086,2.665840,5.924756,8.442770,2.812726,6.275330
0.010000,55.681911,102.737620,2.725941,6.010064,8.530829,8.805864,6.275512
0.010000,55.742867,102.737157,2.786898,6.095741,8.567651,3.682217,6.275695
0.010000,55.804686,102.736700,2.848719,6.182099,8.635835,6.818351,6.275880
0.010000,55.867375,102.736248,2.911410,6.269066,8.696655,6.081992,6.276067
0.010000,55.930938,102.735801,2.974974,6.356437,8.737124,4.046982,6.276255
0.010000,55.995382,102.735361,3.039420,6.444603,8.816557,7.943204,6.276445
0.010000,56.060713,102.734927,3.104752,6.533180,8.857783,4.122658,6.276637
0.010000,56.126935,102.734500,3.170976,6.622375,8.919436,6.165320,6.276831
0.010000,56.194056,102.734080,3.238098,6.712242,8.986744,6.730742,6.277026
0.010000,56.262080,102.733668,3.306123,6.802480,9.023820,3.707616,6.277223
