dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.022955,310.499979,0.000003,0.000600,0.059965,5.996458,0.001836
0.010000,-0.022952,310.499979,0.000006,0.000286,-0.031388,-9.135282,0.001836
0.010000,-0.022946,310.499979,0.000012,0.000643,0.035720,6.710865,0.001836
0.010000,-0.022935,310.499979,0.000024,0.001143,0.050009,1.428813,0.001835
0.010000,-0.022917,310.499979,0.000042,0.001786,0.064297,1.428809,0.001833
0.010000,-0.022891,310.499979,0.000067,0.002572,0.078585,1.428803,0.001831
0.010000,-0.022856,310.499979,0.000102,0.003501,0.092873,1.428793,0.001828
0.010000,-0.022810,310.499979,0.000148,0.004572,0.107160,1.428779,0.001825
0.010000,-0.022752,310.499979,0.000206,0.005787,0.121448,1.428760,0.001820
0.010000,-0.022681,310.499979,0.000277,0.007144,0.135735,1.428737,0.001814
0.010000,-0.022594,310.499980,0.000364,0.008644,0.150022,1.428707,0.001808
0.010000,-0.022492,310.499980,0.000467,0.010287,0.164309,1.428671,0.001799
0.010000,-0.022371,310.499980,0.000587,0.012073,0.178595,1.428628,0.001790
0.010000,-0.022231,310.499980,0.000727,0.014002,0.192881,1.428577,0.001778
0.010000,-0.022070,310.499981,0.000888,0.016074,0.207166,1.428517,0.001766
0.010000,-0.021887,310.499981,0.001071,0.018288,0.221451,1.428449,0.001751
0.010000,-0.021681,310.499981,0.001277,0.020646,0.235735,1.428370,0.001734
0.010000,-0.021449,310.499982,0.001509,0.023146,0.250017,1.428281,0.001716
0.010000,-0.021191,310.499982,0.001767,0.025789,0.264299,1.428181,0.001695
0.010000,-0.020906,310.499983,0.002053,0.028575,0.278580,1.428069,0.001672
0.010000,-0.020591,310.499983,0.002368,0.031503,0.292859,1.427945,0.001647
0.010000,-0.020245,310.499984,0.002713,0.034575,0.307137,1.427807,0.001620
0.010000,-0.019867,310.499984,0.003091,0.037789,0.321414,1.427656,0.001589
0.010000,-0.019456,310.499985,0.003503,0.041146,0.335689,1.427490,0.001556
0.010000,-0.019009,310.499986,0.003949,0.044645,0.349962,1.427309,0.001521
0.010000,-0.018526,310.499986,0.004432,0.048288,0.364233,1.427112,0.001482
0.010000,-0.018006,310.499987,0.004953,0.052073,0.378502,1.426898,0.001440
0.010000,-0.017446,310.499988,0.005513,0.056000,0.392769,1.426667,0.001396
0.010000,-0.016845,310.499989,0.006113,0.060071,0.407033,1.426418,0.001348
0.010000,-0.016202,310.499989,0.006756,0.064284,0.421294,1.426151,0.001296
0.010000,-0.015516,310.499990,0.007443,0.068639,0.435553,1.425863,0.001241
0.010000,-0.014784,310.499991,0.008174,0.073137,0.449809,1.425556,0.001183
0.010000,-0.014006,310.499992,0.008952,0.077778,0.464061,1.425228,0.001121
0.010000,-0.013181,310.499993,0.009777,0.082561,0.478310,1.424878,0.001054
0.010000,-0.012306,310.499994,0.010652,0.087486,0.492555,1.424506,0.000984
0.010000,-0.011380,310.499995,0.011578,0.092554,0.506796,1.424110,0.000910
0.010000,-0.010403,310.499996,0.012555,0.097765,0.521033,1.423691,0.000832
0.010000,-0.009372,310.499996,0.013587,0.103117,0.535265,1.423247,0.000750
0.010000,-0.008285,310.499997,0.014673,0.108612,0.549493,1.422777,0.000663
0.010000,-0.007143,310.499998,0.015815,0.114249,0.563716,1.422281,0.000571
0.010000,-0.005943,310.499999,0.017016,0.120029,0.577933,1.421758,0.000475
0.010000,-0.004683,310.499999,0.018275,0.125950,0.592145,1.421207,0.000375
0.010000,-0.003363,310.500000,0.019595,0.132014,0.606352,1.420626,0.000269
0.010000,-0.001981,310.500000,0.020977,0.138219,0.620552,1.420017,0.000158
0.010000,-0.000535,310.500000,0.022423,0.144567,0.634746,1.419376,0.000043
0.010000,0.005073,310.500000,0.028032,0.560862,41.629483,4099.473705,6.283107
0.010000,0.013276,310.499999,0.036234,0.820220,25.935872,-1569.361040,6.282981
0.010000,0.021830,310.499996,0.044788,0.855455,3.523526,-2241.234650,6.282849
0.010000,0.030744,310.499993,0.053703,0.891428,3.597286,7.376055,6.282712
0.010000,0.040026,310.499988,0.062984,0.928138,3.671012,7.372540,6.282570
0.010000,0.049682,310.499981,0.072640,0.965585,3.744700,7.368879,6.282421
0.010000,0.059719,310.499973,0.082678,1.003769,3.818351,7.365071,6.282267
0.010000,0.070146,310.499962,0.093105,1.042689,3.891962,7.361112,6.282106
0.010000,0.080970,310.499950,0.103928,1.082344,3.965532,7.357001,6.281940
0.010000,0.092197,310.499935,0.115155,1.122735,4.039060,7.352734,6.281767
0.010000,0.103836,310.499917,0.126794,1.163860,4.112543,7.348308,6.281588
0.010000,0.115893,310.499897,0.138851,1.205720,4.185980,7.343721,6.281402
0.010000,0.128382,310.499873,0.151340,1.248880,4.316022,13.004159,6.281210
0.010000,0.141306,310.499846,0.164264,1.292445,4.356551,4.052974,6.281011
0.010000,0.154671,310.499816,0.177630,1.336533,4.408740,5.218835,6.280806
0.010000,0.168485,310.499782,0.191443,1.381353,4.482022,7.328211,6.280593
0.010000,0.182754,310.499743,0.205712,1.426906,4.555249,7.322772,6.280374
0.010000,0.197486,310.499700,0.220444,1.473190,4.628421,7.317155,6.280147
0.010000,0.212688,310.499652,0.235646,1.520205,4.701535,7.311358,6.279913
0.010000,0.228367,310.499599,0.251326,1.567951,4.774588,7.305379,6.279672
0.010000,0.244535,310.499540,0.267494,1.616801,4.884953,11.036433,6.279424
0.010000,0.261201,310.499475,0.284160,1.666663,4.986234,10.128078,6.279167
0.010000,0.278368,310.499404,0.301327,1.716627,4.996453,1.021984,6.278903
0.010000,0.296041,310.499326,0.319000,1.767320,5.069293,7.284007,6.278631
0.010000,0.314228,310.499241,0.337187,1.818741,5.142064,7.277070,6.278352
0.010000,0.332936,310.499147,0.355896,1.870889,5.214763,7.269935,6.278064
0.010000,0.352174,310.499046,0.375134,1.923763,5.287389,7.262601,6.277768
0.010000,0.371956,310.498936,0.394916,1.978243,5.447997,16.060800,6.277464
0.010000,0.392285,310.498816,0.415246,2.032935,5.469246,2.124845,6.277151
0.010000,0.413165,310.498687,0.436126,2.088017,5.508177,3.893070,6.276830
0.010000,0.434602,310.498547,0.457564,2.143822,5.580532,7.235548,6.276500
0.010000,0.456605,310.498396,0.479567,2.200350,5.652804,7.227169,6.276162
0.010000,0.479182,310.498234,0.502145,2.257753,5.740288,8.748390,6.275815
0.010000,0.502352,310.498059,0.525315,2.316985,5.923162,18.287458,6.275458
