dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,298.000000,0.000003,0.000600,0.059965,5.996458,0.001836
0.010000,0.000000,298.000000,0.000015,0.001799,0.119929,5.996458,0.001836
0.010000,0.000000,298.000000,0.000042,0.003598,0.179894,5.996458,0.001836
0.010000,0.000000,298.000000,0.000090,0.005996,0.239858,5.996458,0.001835
0.010000,0.000000,298.000000,0.000165,0.008995,0.299823,5.996458,0.001833
0.010000,0.000000,298.000000,0.000273,0.012593,0.359787,5.996458,0.001831
0.010000,0.000000,298.000000,0.000420,0.016790,0.419752,5.996458,0.001828
0.010000,0.000000,298.000000,0.000612,0.021587,0.479717,5.996458,0.001825
0.010000,0.000000,298.000000,0.000854,0.026984,0.539681,5.996458,0.001820
0.010000,0.000000,298.000000,0.001154,0.032981,0.599646,5.996458,0.001814
0.010000,0.000000,298.000000,0.001517,0.039577,0.659610,5.996458,0.001808
0.010000,0.000000,298.000000,0.001949,0.046772,0.719575,5.996458,0.001799
0.010000,0.000000,298.000000,0.002456,0.054568,0.779539,5.996458,0.001790
0.010000,0.000000,298.000000,0.003043,0.062963,0.839504,5.996458,0.001778
0.010000,0.000000,298.000000,0.003718,0.071957,0.899469,5.996458,0.001766
0.010000,0.000000,298.000000,0.004485,0.081552,0.959433,5.996458,0.001751
0.010000,0.000000,298.000000,0.005352,0.091746,1.019398,5.996458,0.001734
0.010000,0.000000,298.000000,0.006323,0.102539,1.079362,5.996458,0.001716
0.010000,0.000000,298.000000,0.007406,0.113933,1.139327,5.996458,0.001695
0.010000,0.000000,298.000000,0.008605,0.125926,1.199292,5.996458,0.001672
0.010000,0.000000,298.000000,0.009927,0.138518,1.259256,5.996458,0.001647
0.010000,0.000000,298.000000,0.011378,0.151710,1.319221,5.996458,0.001620
0.010000,0.000000,298.000000,0.012964,0.165502,1.379185,5.996458,0.001589
0.010000,0.000000,298.000000,0.014691,0.179894,1.439150,5.996458,0.001556
0.010000,0.000000,298.000000,0.016565,0.194885,1.499114,5.996458,0.001521
0.010000,0.000000,298.000000,0.018592,0.210476,1.559079,5.996458,0.001482
0.010000,0.000000,298.000000,0.020778,0.226666,1.619044,5.996458,0.001440
0.010000,0.000000,298.000000,0.023128,0.243456,1.679008,5.996458,0.001396
0.010000,0.000000,298.000000,0.025650,0.260846,1.738973,5.996458,0.001348
0.010000,0.000000,298.000000,0.028348,0.278835,1.798937,5.996458,0.001296
0.010000,0.000000,298.000000,0.031230,0.297424,1.858902,5.996458,0.001241
0.010000,0.000000,298.000000,0.034300,0.316613,1.918866,5.996458,0.001183
0.010000,0.000000,298.000000,0.037565,0.336401,1.978831,5.996458,0.001121
0.010000,0.000000,298.000000,0.041031,0.356789,2.038796,5.996458,0.001054
0.010000,0.000000,298.000000,0.044704,0.377777,2.098760,5.996458,0.000984
0.010000,0.000000,298.000000,0.048589,0.399364,2.158725,5.996458,0.000910
0.010000,0.000000,298.000000,0.052694,0.421551,2.218689,5.996458,0.000832
0.010000,0.000000,298.000000,0.057023,0.444338,2.278654,5.996458,0.000750
0.010000,0.000000,298.000000,0.061584,0.467724,2.338618,5.996458,0.000663
0.010000,0.000000,298.000000,0.066381,0.491710,2.398583,5.996458,0.000571
0.010000,0.000000,298.000000,0.071421,0.516295,2.458548,5.996458,0.000475
0.010000,0.000000,298.000000,0.076710,0.541480,2.518512,5.996458,0.000375
0.010000,0.000000,298.000000,0.082253,0.567265,2.578477,5.996458,0.000269
0.010000,0.000000,298.000000,0.088058,0.593649,2.638441,5.996458,0.000158
0.010000,0.000000,298.000000,0.094129,0.620633,2.698406,5.996458,0.000043
0.010000,0.004098,298.000000,0.100474,0.648217,2.758370,5.996458,6.283107
0.010000,0.010723,297.999999,0.107097,0.676400,2.818335,5.996458,6.282981
0.010000,0.017632,297.999997,0.114005,0.705183,2.878300,5.996458,6.282849
0.010000,0.024832,297.999994,0.121203,0.734566,2.938264,5.996458,6.282712
0.010000,0.032329,297.999990,0.128699,0.764548,2.998229,5.996458,6.282570
0.010000,0.040128,297.999985,0.136497,0.795130,3.058193,5.996458,6.282421
0.010000,0.048235,297.999978,0.144605,0.826312,3.118158,5.996458,6.282267
0.010000,0.056657,297.999969,0.153027,0.858093,3.178122,5.996458,6.282106
0.010000,0.065399,297.999959,0.161769,0.890474,3.238087,5.996458,6.281940
