dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.022955,285.500021,0.000003,0.000600,0.059965,5.996458,0.001836
0.010000,0.022952,285.500021,0.000006,0.000286,-0.031388,-9.135282,0.001836
0.010000,0.022946,285.500021,0.000012,0.000643,0.035720,6.710865,0.001836
0.010000,0.022935,285.500021,0.000024,0.001143,0.050009,1.428813,0.001835
0.010000,0.022917,285.500021,0.000042,0.001786,0.064297,1.428809,0.001833
0.010000,0.022891,285.500021,0.000067,0.002572,0.078585,1.428803,0.001831
0.010000,0.022856,285.500021,0.000102,0.003501,0.092873,1.428793,0.001828
0.010000,0.022810,285.500021,0.000148,0.004572,0.107160,1.428779,0.001825
0.010000,0.022752,285.500021,0.000206,0.005787,0.121448,1.428760,0.001820
0.010000,0.022681,285.500021,0.000277,0.007144,0.135735,1.428737,0.001814
0.010000,0.022594,285.500020,0.000364,0.008644,0.150022,1.428707,0.001808
0.010000,0.022492,285.500020,0.000467,0.010287,0.164309,1.428671,0.001799
0.010000,0.022371,285.500020,0.000587,0.012073,0.178595,1.428628,0.001790
0.010000,0.022231,285.500020,0.000727,0.014002,0.192881,1.428577,0.001778
0.010000,0.022070,285.500019,0.000888,0.016074,0.207166,1.428517,0.001766
0.010000,0.021887,285.500019,0.001071,0.018288,0.221451,1.428449,0.001751
0.010000,0.021681,285.500019,0.001277,0.020646,0.235735,1.428370,0.001734
0.010000,0.021449,285.500018,0.001509,0.023146,0.250017,1.428281,0.001716
0.010000,0.021191,285.500018,0.001767,0.025789,0.264299,1.428181,0.001695
0.010000,0.020906,285.500017,0.002053,0.028575,0.278580,1.428069,0.001672
0.010000,0.020591,285.500017,0.002368,0.031503,0.292859,1.427945,0.001647
0.010000,0.020245,285.500016,0.002713,0.034575,0.307137,1.427807,0.001620
0.010000,0.019867,285.500016,0.003091,0.037789,0.321414,1.427656,0.001589
0.010000,0.019456,285.500015,0.003503,0.041146,0.335689,1.427490,0.001556
0.010000,0.019009,285.500014,0.003949,0.044645,0.349962,1.427309,0.001521
0.010000,0.018526,285.500014,0.004432,0.048288,0.364233,1.427112,0.001482
0.010000,0.018006,285.500013,0.004953,0.052073,0.378502,1.426898,0.001440
0.010000,0.017446,285.500012,0.005513,0.056000,0.392769,1.426667,0.001396
0.010000,0.016845,285.500011,0.006113,0.060071,0.407033,1.426418,0.001348
0.010000,0.016202,285.500011,0.006756,0.064284,0.421294,1.426151,0.001296
0.010000,0.015516,285.500010,0.007443,0.068639,0.435553,1.425863,0.001241
0.010000,0.014784,285.500009,0.008174,0.073137,0.449809,1.425556,0.001183
0.010000,0.014006,285.500008,0.008952,0.077778,0.464061,1.425228,0.001121
0.010000,0.013181,285.500007,0.009777,0.082561,0.478310,1.424878,0.001054
0.010000,0.012306,285.500006,0.010652,0.087486,0.492555,1.424506,0.000984
0.010000,0.011380,285.500005,0.011578,0.092554,0.506796,1.424110,0.000910
0.010000,0.010403,285.500004,0.012555,0.097765,0.521033,1.423691,0.000832
0.010000,0.009372,285.500004,0.013587,0.103117,0.535265,1.423247,0.000750
0.010000,0.008285,285.500003,0.014673,0.108612,0.549493,1.422777,0.000663
0.010000,0.007143,285.500002,0.015815,0.114249,0.563716,1.422281,0.000571
0.010000,0.005943,285.500001,0.017016,0.120029,0.577933,1.421758,0.000475
0.010000,0.004683,285.500001,0.018275,0.125950,0.592145,1.421207,0.000375
0.010000,0.003363,285.500000,0.019595,0.132014,0.606352,1.420626,0.000269
